"GeneName"	"log2fc"
"LGALS1"	-5.01817719591486
"CRABP2"	-4.26383547498885
"SCG2"	-3.95992464152555
"ALDH1A3"	-3.94339329140555
"S100A4"	-3.87229555366883
"BST2"	-3.83547919792542
"PRKCDBP"	-3.82721396799366
"VIM"	-3.62781152251469
"SLC2A3"	-3.5516534652619
"EPHB6"	-3.53897746503785
"TFPI"	-3.43784493939884
"IGFBP6"	-3.2884159224689
"APOBEC3G"	-3.05988859549842
"NPW"	-2.90842361118011
"CST7"	-2.8379219334172
"PIWIL1"	-2.80548166410909
"CDKN2A"	-2.77677457285385
"STMN3"	-2.77105825772457
"FGF9"	-2.74108462855994
"PRSS1"	-2.68552564317497
"SMARCA1"	-2.65393193118142
"LPXN"	-2.64109423293563
"S100A3"	-2.57942901865448
"TOX2"	-2.57891554474973
"AP1S2"	-2.57665509236795
"TIMP2"	-2.55752443607958
"HOXB2"	-2.50166260406764
"HOXA5"	-2.50041413216331
"SPON1"	-2.48547305090156
"ZBED2"	-2.480866231996
"EMP3"	-2.42356186501683
"CRIP2"	-2.39079509566534
"MDK"	-2.35729796200082
"DCBLD2"	-2.34795675195482
"LCK"	-2.31929030348161
"DUSP5"	-2.31503535332768
"CHST15"	-2.31174562642903
"BTBD16"	-2.28758554574443
"ARL4C"	-2.27861816839796
"ERRFI1"	-2.21373886827707
"ADAM19"	-2.21081577792647
"PMEPA1"	-2.1999715813832
"DNAJC12"	-2.18508851312816
"ATP5E"	-2.17590270242607
"TPM2"	-2.14588020607969
"CD74"	-2.14422061779838
"ZNF467"	-2.13415170464113
"DLX1"	-2.13331895300837
"FSCN1"	-2.1267455760212
"NEB"	-2.10101956965518
"MYT1"	-2.08802940766595
"ZNF512B"	-2.07627475555659
"APLP1"	-2.07614542062933
"EREG"	-2.04807622079347
"NRP1"	-2.04787932378325
"ASB4"	-2.03794514026595
"KRT80"	-2.02728311785751
"L1CAM"	-2.02563583544912
"IFIT1"	-2.02490661771352
"TRIB1"	-2.0220552767539
"WBP5"	-1.9927280145344
"TNFAIP2"	-1.99199378953025
"FAM107B"	-1.98438322561495
"NR2F1"	-1.9753752338504
"KRT81"	-1.91276974517272
"MEIS2"	-1.91273373899061
"CRYAB"	-1.90712718884478
"SHC4"	-1.89600352431159
"CD109"	-1.89418168404778
"WWTR1"	-1.88477125023768
"VASN"	-1.88032416146821
"RGS2"	-1.87737567026247
"SMOC1"	-1.87609086354335
"STX1A"	-1.84679572341003
"CRIM1"	-1.84417296857261
"AFAP1-AS1"	-1.83966987208777
"SLC40A1"	-1.8213973878041
"CUEDC1"	-1.81783723900348
"LIX1L"	-1.81523871463897
"ETV5"	-1.80719230453989
"KYNU"	-1.80403389130228
"SOX8"	-1.79011681243009
"CALB2"	-1.78069332144797
"ABCC2"	-1.76170455141051
"PRDM8"	-1.75906731030592
"NAV2"	-1.74886205473859
"ECI2"	-1.74369919824175
"PHLDA1"	-1.73113397480862
"FAM84B"	-1.72876305687278
"IFIT3"	-1.72348069642038
"PRTFDC1"	-1.71997491921366
"UBASH3B"	-1.71629415732813
"GPR87"	-1.70609241266839
"SLC16A3"	-1.7040696572997
"DUSP4"	-1.7001688617763
"SLAIN1"	-1.69855370141263
"PMAIP1"	-1.68540614974591
"AGA"	-1.67197427126902
"FOSL1"	-1.66584023818708
"EPHA4"	-1.66411074052383
"DDIT3"	-1.66271739554667
"TCEAL3"	-1.65897943353346
"CAV1"	-1.63994791996471
"CYP27A1"	-1.63972846402139
"GNG2"	-1.61774958885718
"ARSJ"	-1.61207998181089
"CYR61"	-1.61016916272892
"GABARAPL1"	-1.60948191632322
"PLEKHB1"	-1.60257781119454
"B4GALT5"	-1.59682285966984
"APOBEC3C"	-1.59453253430171
"IFIT2"	-1.59256800080796
"SIX4"	-1.57471954652578
"DAB2"	-1.56944592349196
"PYGB"	-1.56035478633887
"TMEM136"	-1.56013181608099
"SRPX"	-1.55599927512871
"SH3BGRL"	-1.55266913623959
"SYT1"	-1.54487597738175
"ROR1"	-1.53974817308055
"CCDC88A"	-1.5383724362092
"FGD1"	-1.52440535784641
"MAOB"	-1.52434868381838
"FJX1"	-1.51585711299975
"ALOX5AP"	-1.50476360908467
"TUBB3"	-1.50282482025556
