"GeneName"	"log2FC"	"pvalue"	"padj"
"SHC4"	"-1.83925887687319"	"9.54448895723829e-18"	"1.54296208482714e-13"
"TM4SF18"	"-2.78180627248089"	"3.43298885159264e-14"	"2.77488488874233e-10"
"GNG2"	"-1.70545542638086"	"8.10016699182423e-14"	"4.36490998632768e-10"
"ZNF521"	"-1.10395120393702"	"3.0054180894321e-13"	"1.21463972084399e-09"
"CSMD3"	"-1.59269405561132"	"5.63556249848006e-13"	"1.82209006700857e-09"
"GAS2"	"-2.19663248921069"	"6.04157364809992e-11"	"1.62780132658639e-07"
"ELF5"	"-1.53619474996201"	"8.7726836822311e-11"	"2.02598863438497e-07"
"CRYAB"	"-1.64343830411395"	"2.0868483218643e-10"	"3.74844333013981e-07"
"ZNF572"	"-1.48519940524003"	"1.95528232589364e-10"	"3.74844333013981e-07"
"NEB"	"-1.79208195909197"	"5.16774523138035e-10"	"8.35417694104948e-07"
"DIRAS3"	"-1.44042670785151"	"1.04803080649956e-08"	"1.5402241834429e-05"
"SNCG"	"-2.84398528147233"	"1.65990840580185e-08"	"2.23617327401606e-05"
"ADAMTS7"	"-0.862386168491063"	"1.88540680282725e-08"	"2.34457587496195e-05"
"F5"	"-2.69501109502"	"2.40413892715691e-08"	"2.7760935640299e-05"
"ACMSD"	"-1.11792464209282"	"1.99004557234983e-07"	"0.000204706826790889"
"CLMP"	"-1.31990111422262"	"2.02604801970446e-07"	"0.000204706826790889"
"DEPTOR"	"-2.55053026383583"	"3.03862970297252e-07"	"0.000276365322265848"
"PDE8B"	"-1.11133163602776"	"3.07718409055132e-07"	"0.000276365322265848"
"KLHL4"	"-0.634503210794847"	"3.99460745381112e-07"	"0.000339878021570055"
"PLXDC2"	"-2.04596779084817"	"6.16240233160687e-07"	"0.000498106980463783"
"MEIS1"	"-0.897761966934113"	"8.69072576899553e-07"	"0.000669020346578961"
"ANK1"	"-0.821902271431482"	"1.0407305184487e-06"	"0.000677718390786894"
"BTBD16"	"-1.85137031573716"	"1.02379584819104e-06"	"0.000677718390786894"
"HSPA2"	"-1.65349739718002"	"1.04712820996504e-06"	"0.000677718390786894"
"TRIB1"	"-1.83114321300384"	"1.04806134910753e-06"	"0.000677718390786894"
"SCG2"	"-2.91722614815454"	"1.18344555069468e-06"	"0.000735830029712697"
"CLCN4"	"-0.808416792540618"	"1.28760629801051e-06"	"0.000770942348653254"
"ALOX5AP"	"-1.32700418175925"	"1.4350856267026e-06"	"0.000828556937188368"
"PIFO"	"-0.680211325628817"	"2.05291031370521e-06"	"0.00114439131487443"
"APOBEC3G"	"-2.2210685385603"	"4.90241026962741e-06"	"0.00257709218152861"
"IGSF5"	"-0.812050636786643"	"4.94184446538333e-06"	"0.00257709218152861"
"TNC"	"-2.03211004130678"	"5.28522000829692e-06"	"0.0026700270829415"
"SLC38A5"	"3.11348967593628"	"5.60518878259815e-06"	"0.00274586308665096"
"GNAO1"	"-0.575491577024368"	"6.94602720169012e-06"	"0.00330263163948596"
"ITPR3"	"1.13680182853893"	"7.22478027106752e-06"	"0.00333702279605936"
"GPR137C"	"-0.68797772845795"	"1.21038744375115e-05"	"0.0053746521060255"
"STX1A"	"-1.29970131415229"	"1.23012574491491e-05"	"0.0053746521060255"
"FGF9"	"-2.01666530259324"	"1.31038713429721e-05"	"0.00553476697278412"
"VGF"	"-2.68098974590296"	"1.33524626956935e-05"	"0.00553476697278412"
"B4GALT5"	"-0.990654409549268"	"1.72477561447695e-05"	"0.00697068064590861"
"ARSJ"	"-1.62857558413784"	"1.88653741615114e-05"	"0.00701807510348994"
"KYNU"	"-1.40881502546495"	"1.89348755059122e-05"	"0.00701807510348994"
"RPS4Y1"	"4.38132020543621"	"1.91015281797326e-05"	"0.00701807510348994"
"SMOC1"	"-1.57553949373447"	"1.84017048648291e-05"	"0.00701807510348994"
"LRRTM1"	"-0.495877331023866"	"2.52250753244135e-05"	"0.00906196817098819"
"ZNF488"	"-1.19836228629813"	"2.61101988700129e-05"	"0.0091760320637528"
