"GeneName"	"log2fc"
"SCG2"	-2.91722614815454
"SNCG"	-2.84398528147233
"TM4SF18"	-2.78180627248089
"F5"	-2.69501109502
"VGF"	-2.68098974590296
"DEPTOR"	-2.55053026383583
"CPE"	-2.23534366808261
"APOBEC3G"	-2.2210685385603
"GAS2"	-2.19663248921069
"PIWIL1"	-2.14580786342542
"EPHB6"	-2.11116311374561
"PLXDC2"	-2.04596779084817
"TNC"	-2.03211004130678
"LPXN"	-2.02024147259549
"FGF9"	-2.01666530259324
"TOX2"	-1.96987086332033
"GNAI1"	-1.94280819057181
"CST7"	-1.92486801830585
"TFPI"	-1.90587280083669
"BTBD16"	-1.85137031573716
"SHC4"	-1.83925887687319
"TRIB1"	-1.83114321300384
"NEB"	-1.79208195909197
"AP1S2"	-1.73501573381537
"GNG2"	-1.70545542638086
"ISL1"	-1.67669411799143
"HSPA2"	-1.65349739718002
"CRYAB"	-1.64343830411395
"ATP5E"	-1.63446585948073
"ARSJ"	-1.62857558413784
"ARL4C"	-1.61942069973589
"NREP"	-1.6120481980739
"CSMD3"	-1.59269405561132
"SMOC1"	-1.57553949373447
"ELF5"	-1.53619474996201
"APLP1"	-1.52648458060929
"MYT1"	-1.502258761621
