"GeneName"	"log2fc"
"RPS4Y1"	4.38132020543621
"TM4SF4"	3.21446952884237
"SLC38A5"	3.11348967593628
"RNASE1"	2.82921558611181
"CA9"	2.63251146121503
"IL33"	2.62188985310768
"PTPRO"	2.47496598683764
"SLC7A7"	2.38678383980103
"NOX1"	2.32176339446888
"C15orf48"	2.29098132463712
"MUC17"	2.24813621802381
"GUCY2C"	2.20312830142661
"MEP1A"	2.19419744375368
"CHP2"	2.0399072072795
"FABP1"	2.02774736253865
"CPS1"	1.97151483838629
"CFTR"	1.96798468212532
"HEPH"	1.88183816800075
"PCOLCE2"	1.8745685367004
"CCL20"	1.83510931430208
"SLC3A1"	1.83116548736722
"TRIM31"	1.8185073978147
"MYOM3"	1.55450709799634
"MLXIPL"	1.52928872126977
"FAM50B"	1.52879908531967
"RAPGEFL1"	1.52818557515416
