"ID" "Description" "geneID" "Count" "p_adjust" "pvalue" "GeneRatio"
"hsa04080" "Neuroactive ligand-receptor interaction" "283869/4923" 2 0.134869977747974 0.0322856700128721 "2/7"
"hsa05330" "Allograft rejection" "3002" 1 0.134869977747974 0.0324124818720919 "1/7"
"hsa05332" "Graft-versus-host disease" "3002" 1 0.134869977747974 0.0357713246044191 "1/7"
"hsa04940" "Type I diabetes mellitus" "3002" 1 0.134869977747974 0.0366094719690991 "1/7"
"hsa04672" "Intestinal immune network for IgA production" "5284" 1 0.134869977747974 0.0416252541561537 "1/7"
"hsa05320" "Autoimmune thyroid disease" "3002" 1 0.134869977747974 0.0449566592493246 "1/7"
"hsa04670" "Leukocyte transendothelial migration" "4478" 1 0.190026310149131 0.0945445180405822 "1/7"
"hsa04650" "Natural killer cell mediated cytotoxicity" "3002" 1 0.190026310149131 0.107964279221108 "1/7"
"hsa04210" "Apoptosis" "3002" 1 0.190026310149131 0.11187867277798 "1/7"
"hsa05162" "Measles" "4478" 1 0.190026310149131 0.114220234416629 "1/7"
"hsa05226" "Gastric cancer" "83998" 1 0.190026310149131 0.121987263930336 "1/7"
"hsa03010" "Ribosome" "6192" 1 0.190026310149131 0.128927605537399 "1/7"
"hsa04530" "Tight junction" "4478" 1 0.190026310149131 0.137346340907671 "1/7"
"hsa05202" "Transcriptional misregulation in cancer" "3002" 1 0.190026310149131 0.154724043624166 "1/7"
"hsa05205" "Proteoglycans in cancer" "4478" 1 0.190026310149131 0.164412831531079 "1/7"
"hsa04810" "Regulation of actin cytoskeleton" "4478" 1 0.190026310149131 0.174006272644295 "1/7"
"hsa05171" "Coronavirus disease - COVID-19" "6192" 1 0.190026310149131 0.184231938564634 "1/7"
"hsa04020" "Calcium signaling pathway" "4923" 1 0.190026310149131 0.190026310149131 "1/7"
