GeneID;log2FC;pvalue
7104;3.87;1.04E-10
83998;3.69;1.04E-09
222643;-1.56;5.50E-09
4478;2.79;3.17E-08
8809;-0.88;1.00E-07
6192;3.33;1.02E-07
26154;-0.71;1.40E-07
8530;-1.77;2.46E-07
10538;-1.55;2.94E-07
79755;-0.86;3.52E-07
8705;-0.99;6.77E-07
55790;-0.65;6.95E-07
84000;-1.01;8.20E-07
54097;-1.97;1.40E-06
27290;2.77;1.53E-06
9333;-0.65;1.52E-06
6383;-0.68;1.97E-06
147372;-0.71;2.48E-06
140862;-0.71;4.37E-06
241;-0.82;5.73E-06
9701;-0.35;6.16E-06
1230;-0.59;6.57E-06
3586;-0.74;7.82E-06
51442;-1.13;9.60E-06
54516;0.42;1.00E-05
79786;-0.50;1.11E-05
412;-0.81;1.34E-05
10645;-0.43;2.28E-05
283869;1.78;2.55E-05
79679;-0.77;2.99E-05
348980;-0.68;3.35E-05
147172;-0.49;3.58E-05
222;-0.71;4.38E-05
2569;-0.50;4.22E-05
57476;1.15;4.45E-05
4216;0.46;5.19E-05
1745;1.02;5.78E-05
283209;-0.64;6.62E-05
100190938;-0.36;6.81E-05
8869;-1.07;6.94E-05
54205;0.58;7.13E-05
84850;-0.68;7.68E-05
2833;-0.67;8.38E-05
115811;-0.36;8.49E-05
23557;-0.36;8.26E-05
2043;-0.95;9.96E-05
65982;-0.59;9.77E-05
79639;-0.57;0.000103054
8930;-0.41;0.000112515
3174;0.85;0.000120576
100;-1.18;0.000124811
54943;-0.35;0.000137003
84283;-0.54;0.000137572
9590;1.52;0.000163625
79156;-0.71;0.000156746
154091;-1.01;0.000165097
7766;-0.50;0.000161379
1671;1.10;0.000195613
29943;-0.94;0.000191877
10891;-0.74;0.000193894
3872;1.18;0.000201453
11221;-0.93;0.000205409
10370;-0.91;0.000248217
29094;-0.63;0.000240421
4496;1.11;0.000248555
3053;-0.61;0.000252295
334;-0.57;0.000262945
115761;-0.43;0.000276434
100128098;-0.84;0.000277951
5947;1.37;0.000298951
3936;-0.72;0.000313542
89797;-0.82;0.000327764
65059;-0.46;0.000334644
92346;-0.39;0.000357289
1755;-0.52;0.000351029
1830;1.02;0.00036496
54331;-0.53;0.000366172
5918;1.25;0.000364612
84749;-0.41;0.000363703
92935;0.34;0.000375129
94025;-0.55;0.000378866
51074;0.47;0.000412754
1902;-0.96;0.000404997
347733;1.22;0.000408855
9518;-1.36;0.000434216
89846;-1.01;0.000444594
50861;1.44;0.000446228
442213;-0.37;0.00045161
3866;-0.99;0.00049733
143662;-0.45;0.00049562
4923;1.56;0.000513164
23236;-0.60;0.000515487
6944;-0.36;0.000515826
7477;-0.79;0.000518439
23705;-0.94;0.000527073
26088;-0.25;0.000544684
375387;-0.47;0.000546619
51430;-0.38;0.000532484
8295;0.37;0.000543283
9421;-0.42;0.000553975
51659;-0.54;0.000562184
80176;-0.55;0.000568777
11012;1.53;0.00057687
23180;-0.54;0.000590315
55508;-0.50;0.000611666
64764;-0.65;0.000635961
10123;-1.07;0.000650536
53836;-0.69;0.000648315
56203;-0.30;0.000658861
157777;-0.34;0.000671921
5724;-0.44;0.000677969
7431;1.36;0.000694285
116115;-0.30;0.000694556
11066;-0.30;0.000707737
113277;-0.37;0.00071712
78992;-0.34;0.000738517
28514;0.90;0.000745106
6752;-0.27;0.000762358
312;1.55;0.00078694
90506;-0.24;0.000799048
57583;0.46;0.000799356
7292;-0.41;0.000781465
84818;-0.30;0.000809963
2825;-0.38;0.000831631
4613;-0.92;0.000824565
55249;-0.27;0.000827264
54955;0.35;0.000846787
2651;-0.56;0.000843802
908;0.40;0.000879381
5327;-1.05;0.000864843
5376;0.98;0.000879915
6609;-0.63;0.000879699
55577;-0.44;0.000907629
26974;-0.34;0.000930673
326;-0.25;0.000958699
1510;1.01;0.000971537
3854;-0.73;0.000972055
10205;-0.75;0.000969367
92291;0.88;0.001002223
124590;-0.23;0.00101648
1291;1.27;0.001102794
84173;-0.25;0.00106872
340719;-0.47;0.001070253
59277;-1.07;0.001088075
85004;-0.36;0.001093748
55359;-0.64;0.001079234
9392;-0.41;0.001085556
9760;0.77;0.001107928
221584;-0.42;0.001072021
22828;0.27;0.001126866
956;-0.36;0.001144037
57835;-0.22;0.001140742
91151;-0.50;0.001149733
200407;-0.60;0.001188528
8662;0.35;0.001206227
50848;-0.62;0.001204101
79713;-0.39;0.001192249
5962;-1.24;0.001190139
11138;-0.58;0.001258378
23228;0.76;0.001278784
6718;-0.20;0.001306271
1601;-1.08;0.001314024
28951;-0.86;0.001303592
1893;-0.88;0.001330522
3167;-0.32;0.001365758
4151;-0.64;0.001359323
4710;-0.20;0.0013413
5284;1.65;0.001376199
25862;-0.50;0.001380491
83719;-0.61;0.001342486
7762;0.47;0.001370261
722;-0.56;0.001407993
10388;-0.41;0.001414561
23270;0.34;0.0014214
22834;-0.32;0.001399948
9175;-0.47;0.001440613
6693;-0.62;0.001439562
256435;-0.48;0.001451472
7379;-0.77;0.001481993
5298;-0.31;0.001490685
2029;-0.43;0.00150884
59352;0.84;0.001508617
3625;-1.26;0.001535008
5746;-0.48;0.001537202
3002;1.53;0.001559671
9966;-0.65;0.001556512
93210;-0.60;0.001591098
10418;1.44;0.001584392
79230;-0.23;0.001607067
4111;-0.71;0.00162452
5732;1.14;0.001634723
84320;-0.30;0.001657424
79365;0.95;0.001671782
56941;-0.33;0.001680349
59;-0.92;0.001699491
150696;-1.22;0.00169242
117854;-0.57;0.001731331
134957;0.43;0.001802545
7561;-0.45;0.001826749
9448;-0.55;0.001851898
3313;0.33;0.001887028
250;-0.86;0.001986639
23493;0.71;0.001978806
10637;-0.56;0.001973241
221443;-0.58;0.001966149
84612;-0.33;0.001941803
55253;0.25;0.001979624
4689;-0.36;0.002003554
8651;-0.31;0.002018398
360;1.03;0.002089167
762;-0.42;0.002109133
54758;-0.36;0.002104471
81857;-0.31;0.002103468
9028;-0.60;0.002075639
56998;-0.50;0.002137799
51348;-0.36;0.002137574
347730;-0.25;0.002149092
4193;-0.36;0.002147606
10046;0.73;0.002160661
55509;0.68;0.00218655
3040;1.44;0.002182294
3860;1.24;0.002227813
6881;-0.39;0.002214942
10906;-0.34;0.002220002
54857;-0.23;0.002237864
27121;1.05;0.002266397
3952;-0.25;0.002277554
23507;0.27;0.002275083
11098;-1.05;0.002255005
29125;-0.34;0.002289897
22807;-0.25;0.002314108
4499;0.69;0.002361229
57205;-0.38;0.002400199
90522;-0.39;0.00240379
65985;-0.47;0.002539243
51529;-0.33;0.00250908
2318;1.04;0.002480772
3227;-0.61;0.002536766
5880;-1.06;0.002475034
10262;-0.28;0.002460041
9576;-0.30;0.002530858
7078;-0.82;0.002509839
85460;-0.69;0.002472263
51754;-0.51;0.002555285
56127;-0.28;0.002613318
84679;-0.47;0.002623128
558;1.43;0.002660214
1508;-0.66;0.002655308
271;0.21;0.002776123
79074;-0.28;0.002786449
79092;-0.28;0.002791466
11157;-0.38;0.00273714
4135;-0.32;0.002801601
4311;1.07;0.002718651
22821;0.60;0.002769088
56165;-0.22;0.002762657
8740;-0.22;0.002757183
90249;0.82;0.002781993
170691;-0.30;0.002833239
29995;-0.72;0.002835018
6490;-0.38;0.002846772
607;-0.35;0.002879563
1235;-0.38;0.002952172
56521;0.99;0.002941229
4493;1.38;0.002940234
5763;0.64;0.002945426
57486;0.27;0.002985037
29083;-0.31;0.002997087
53405;-0.85;0.003032881
231;1.36;0.003120235
53838;-0.27;0.003084668
51478;-0.42;0.003123971
9605;-0.36;0.003109512
63929;-0.28;0.003097125
8908;-0.75;0.003135412
11267;-0.30;0.003164705
10859;-0.19;0.003179212
644943;-0.59;0.003187497
11025;-0.18;0.003211434
84964;-0.32;0.003281119
26268;-0.24;0.003262667
56944;-0.78;0.00329442
5874;-0.55;0.003288445
5025;-0.50;0.00331555
51011;-0.38;0.003355942
284086;-0.30;0.003361717
124637;0.47;0.003396693
54880;0.38;0.003463781
158160;-0.42;0.003459666
92014;-0.34;0.003463568
84898;0.70;0.00352969
25766;-0.26;0.003515115
9609;0.64;0.003521775
85477;0.67;0.003505633
647024;-0.75;0.003640279
4494;0.87;0.003686675
3760;0.46;0.003705159
4817;-0.25;0.003784159
8322;0.45;0.003813047
3383;-0.72;0.0038218
9690;0.31;0.003834127
6390;0.31;0.003923876
677766;0.29;0.003950251
84532;0.84;0.004026779
81575;-0.40;0.003999812
4038;1.01;0.00403003
