"GeneName"	"log2FC"	"pvalue"	"padj"
"TM4SF4"	"3.87193354962285"	"1.03769823854993e-10"	"1.61050766622949e-06"
"REG4"	"3.69219290138977"	"1.03911858637705e-09"	"8.06356023028588e-06"
"UNC5CL"	"-1.55946516587685"	"5.49956323312817e-09"	"2.84510737927164e-05"
"MSN"	"2.78872273763954"	"3.16679526697102e-08"	"0.000122871656358476"
"IL18R1"	"-0.87684046505179"	"1.000995329448e-07"	"0.000263626160303233"
"RPS4Y1"	"3.32597256976015"	"1.01917330014137e-07"	"0.000263626160303233"
"ABCA12"	"-0.710362128742222"	"1.4001002637176e-07"	"0.00031042222989853"
"CST7"	"-1.76948049169168"	"2.45677330771596e-07"	"0.000476614021696896"
"BATF"	"-1.55320662355434"	"2.94239108139557e-07"	"0.000507398995369548"
"ZNF750"	"-0.859723645360718"	"3.52222366780113e-07"	"0.000546649113242735"
"B3GALT4"	"-0.987269045280872"	"6.76970849412884e-07"	"0.000898424211524883"
"CSGALNACT1"	"-0.65083236184583"	"6.9465789550893e-07"	"0.000898424211524883"
"TMPRSS13"	"-1.00708468404586"	"8.2036220363465e-07"	"0.000979386261569982"
"FAM3B"	"-1.96654387767422"	"1.39984818001773e-06"	"0.00147999962659475"
"SPINK4"	"2.77345630321262"	"1.52577281092242e-06"	"0.00147999962659475"
"TGM5"	"-0.64980145152315"	"1.52395957650869e-06"	"0.00147999962659475"
"SDC2"	"-0.677198316499581"	"1.96617703230488e-06"	"0.00179500397302187"
"CCBE1"	"-0.71375064706132"	"2.48014418179523e-06"	"0.002138435427859"
"ISM1"	"-0.714845540908088"	"4.36976054616798e-06"	"0.00356940440402774"
"ALOX5AP"	"-0.823657392157525"	"5.72893677627224e-06"	"0.00444565493838726"
"PPP6R2"	"-0.35121051505589"	"6.15839510030066e-06"	"0.00455134723603172"
"CCR1"	"-0.594301262847813"	"6.57003725182937e-06"	"0.00463486264310872"
"IL10"	"-0.742751888661152"	"7.82454098858194e-06"	"0.00527986418012138"
"VGLL1"	"-1.1302087569233"	"9.59825131103629e-06"	"0.0062068691811368"
"MTRF1L"	"0.416796277598441"	"1.00410467439999e-05"	"0.00623348181867513"
"KLHL36"	"-0.500049021882365"	"1.11112203048322e-05"	"0.00663254381273062"
"STS"	"-0.812492536960846"	"1.33664758336266e-05"	"0.00768324833103278"
"CAMKK2"	"-0.425047162810347"	"2.28270320767267e-05"	"0.0126526977796714"
"NPW"	"1.77667348589886"	"2.54516467812527e-05"	"0.0136210192429325"
"VTCN1"	"-0.76991882210012"	"2.99132359349262e-05"	"0.0154751140570018"
"HCN1"	"-0.681009829681094"	"3.34689112406562e-05"	"0.0167560484662898"
"LRRC37BP1"	"-0.494140577907788"	"3.57805229722295e-05"	"0.0173535536415313"
"ALDH3B2"	"-0.707962918438102"	"4.38382541519627e-05"	"0.0197444471735732"
"GABRR1"	"-0.502066197880416"	"4.21654210198738e-05"	"0.0197444471735732"
"GRAMD1B"	"1.14922445989185"	"4.45267816414344e-05"	"0.0197444471735732"
"MAP3K4"	"0.458989522092231"	"5.19107652845971e-05"	"0.0223793077004708"
"DLX1"	"1.02309194133593"	"5.77657112248703e-05"	"0.0242303740056753"
"PGM2L1"	"-0.643346316614916"	"6.62041436453689e-05"	"0.0269120263222476"
"RAMP2-AS1"	"-0.357280453088484"	"6.80613409645784e-05"	"0.0269120263222476"
"ST3GAL5"	"-1.07185356453723"	"6.93608925831125e-05"	"0.0269120263222476"
"CYCS"	"0.584957445939154"	"7.12961979777627e-05"	"0.0269882193320702"
"GLIS3-AS1"	"-0.684149099071124"	"7.68158059484111e-05"	"0.0283852692456986"
"CXCR3"	"-0.66806218510021"	"8.38389089215718e-05"	"0.0292809413119192"
"IQCD"	"-0.355818383420358"	"8.48996365358482e-05"	"0.0292809413119192"
"SNAPIN"	"-0.357692172043098"	"8.25921461547103e-05"	"0.0292809413119192"
"DUSP27"	"-1.54829091560583"	"9.16831209603425e-05"	"0.0309330877674895"
"EPHA4"	"-0.951566348106542"	"9.96455801570354e-05"	"0.0322187375841081"
"ZSCAN18"	"-0.593141540281548"	"9.77192292292243e-05"	"0.0322187375841081"
"TMEM53"	"-0.566014799036637"	"0.000103054002979041"	"0.0326407780864228"
"MBD4"	"-0.409275498978614"	"0.000112515147357558"	"0.034924701739786"
"HNF4G"	"0.847547202514711"	"0.000120575671186378"	"0.0366928317022075"
"ADA"	"-1.17680982795111"	"0.000124810696246716"	"0.0372511924182507"
"DNAJC28"	"-0.350865861442365"	"0.000137002969303025"	"0.0395393267494985"
"TMEM79"	"-0.538198818448661"	"0.00013757239977274"	"0.0395393267494985"
"AKAP12"	"1.51878485561939"	"0.000163624777508745"	"0.0441776216399397"
"PLEKHF1"	"-0.711889503518038"	"0.000156745740725137"	"0.0441776216399397"
"SLC2A12"	"-1.0065270623623"	"0.000165096781901836"	"0.0441776216399397"
"ZNF223"	"-0.495877290124086"	"0.0001613785658489"	"0.0441776216399397"
"DEFA6"	"1.09659231014146"	"0.000195613405916494"	"0.0497691813085899"
"PADI1"	"-0.944642020886214"	"0.000191876971261447"	"0.0497691813085899"
"PPARGC1A"	"-0.735479883834048"	"0.000193893815411206"	"0.0497691813085899"
"KRT17"	"1.18155766584924"	"0.000201452638608407"	"0.0504281443742335"
"DUSP10"	"-0.934350365816976"	"0.000205408551712002"	"0.0506022336915917"
"CITED2"	"-0.914458998381949"	"0.000248217311892808"	"0.0575757566887758"
"KIAA1324"	"1.71321897940665"	"0.000245503837516784"	"0.0575757566887758"
"LGALSL"	"-0.627966775724459"	"0.000240420946739462"	"0.0575757566887758"
"MT1H"	"1.11096996043607"	"0.000248555135189947"	"0.0575757566887758"
"SERPIND1"	"-0.611136850218923"	"0.000252294894989099"	"0.0575825995622178"
"APLP2"	"-0.570032663946472"	"0.000262945350204114"	"0.0591436497850413"
"ARL11"	"-0.425663797789046"	"0.000276433893259572"	"0.060757792669595"
"ST8SIA6-AS1"	"-0.843927620072"	"0.000277951242238482"	"0.060757792669595"
"RBP1"	"1.37362817043925"	"0.000298950547873136"	"0.0644404514304314"
"LCP1"	"-0.717197217255282"	"0.000313541738517607"	"0.066659832627305"
"NAV2"	"-0.821427359632991"	"0.00032776354539538"	"0.0687417597910309"
"RAPH1"	"-0.461490848686905"	"0.000334643874274969"	"0.0692489723833002"
"C1orf105"	"-0.391352757728148"	"0.000357289255812218"	"0.0701603503405456"
"DMBT1"	"-0.517819135296873"	"0.000351029265299594"	"0.0701603503405456"
"DSG3"	"1.02313205978392"	"0.000364959540192352"	"0.0701603503405456"
"GNG2"	"-0.527002187920916"	"0.000366171931545373"	"0.0701603503405456"
"RARRES1"	"1.25121949072865"	"0.000364612212412098"	"0.0701603503405456"
"USP30"	"-0.411181860988693"	"0.000363702555883678"	"0.0701603503405456"
"MARS2"	"0.336538050903141"	"0.000375129165733781"	"0.0708433260037256"
"MUC16"	"-0.554583824053851"	"0.000378865725406522"	"0.0708433260037256"
"APIP"	"0.474961397253318"	"0.000412753831608403"	"0.073631488121407"
"LPAR1"	"-0.962178390637611"	"0.000404996893391801"	"0.073631488121407"
"SEPW1"	"-0.673203652185491"	"0.000411994079940617"	"0.073631488121407"
"TUBB2B"	"1.22163180044231"	"0.000408855224523313"	"0.073631488121407"
"GDF15"	"-1.36325000792023"	"0.000434216272425655"	"0.076579960773252"
"FGD3"	"-1.00998666659901"	"0.000444593675671911"	"0.0769495851361231"
"STMN3"	"1.44066043548621"	"0.000446228264320301"	"0.0769495851361231"
"PTCHD4"	"-0.374493158382516"	"0.000451609558058072"	"0.0770217619896844"
"KRT15"	"-0.991769879574648"	"0.000497330353765628"	"0.0829502214989774"
"MUC15"	"-0.450813516230965"	"0.000495619850211261"	"0.0829502214989774"
"NTSR1"	"1.56325229757706"	"0.000513163575530258"	"0.0829502214989774"
"PLCB1"	"-0.602318210167028"	"0.000515487387399805"	"0.0829502214989774"
"VPS72"	"-0.357984232566676"	"0.000515825677729739"	"0.0829502214989774"
"WNT7B"	"-0.793979719135571"	"0.000518438884368609"	"0.0829502214989774"
"CADM1"	"-0.943447794266742"	"0.000527072844496523"	"0.0831718048769981"
"GGA1"	"-0.246693018921344"	"0.000544684105134089"	"0.0831718048769981"
"NRROS"	"-0.468513857380425"	"0.00054661882071223"	"0.0831718048769981"
"SUCO"	"-0.382693428192055"	"0.000532483681105625"	"0.0831718048769981"
"TRRAP"	"0.373915472274933"	"0.000543282580980867"	"0.0831718048769981"
"HAND1"	"-0.420066377207497"	"0.000553974631951728"	"0.083472682406707"
"GINS2"	"-0.536900197375295"	"0.000562184090160595"	"0.0838951642239658"
"SPSB1"	"-0.55159900761542"	"0.000568777357402305"	"0.084070710351274"
"KLK11"	"1.53125959904091"	"0.000576870492533571"	"0.0844625475860473"
"RFTN1"	"-0.542171448402353"	"0.000590314984439589"	"0.0856232575560974"
"SLC35E3"	"-0.49914461691409"	"0.000611665824405131"	"0.0878986443959967"
"CREB3L2"	"-0.64937587618856"	"0.000635961007126206"	"0.0905515122073277"
"ARL4C"	"-1.0697076398615"	"0.000650536131997848"	"0.0909578447622217"
"GPR87"	"-0.690692268817293"	"0.000648314816991916"	"0.0909578447622217"
"LMOD3"	"-0.29938745408211"	"0.000658861427072412"	"0.0912993691800342"
"MCMDC2"	"-0.339627305071572"	"0.000671920592400908"	"0.0922850229563018"
"PTAFR"	"-0.44425609081695"	"0.000677969493917987"	"0.0922990047860277"
"VIM"	"1.36194499030923"	"0.000694284502631053"	"0.0929268588073713"
"ZNF526"	"-0.298068267939674"	"0.000694556418921074"	"0.0929268588073713"
"SNRNP35"	"-0.296617812061291"	"0.000707737372289655"	"0.0938810599823543"
"TMEM106A"	"-0.373503365814688"	"0.000717120326743355"	"0.094319554839465"
"YIPF2"	"-0.340078902521954"	"0.000738517198424561"	"0.0963175371390688"
"DLL1"	"0.903474698603078"	"0.00074510596077079"	"0.0963670375930222"
"FAM129A"	"1.17461469863384"	"0.000757941145956821"	"0.0969070400279698"
"FAM175A"	"-0.472135029154773"	"0.000770689591434638"	"0.0969070400279698"
"LRMP"	"-0.287938361298523"	"0.000774257278573985"	"0.0969070400279698"
"SSTR2"	"-0.274125739781719"	"0.000762357644438044"	"0.0969070400279698"
"ANXA13"	"1.55222411500721"	"0.000786940086907217"	"0.0969218912395924"
"LRRC46"	"-0.240637688424423"	"0.000799047854858053"	"0.0969218912395924"
"TMEM181"	"0.455157210622715"	"0.000799355804037876"	"0.0969218912395924"
"TNFSF4"	"-0.405689047390267"	"0.000781465326266623"	"0.0969218912395924"
"IL17RC"	"-0.297692998223955"	"0.000809963348350492"	"0.0974467532279042"
"GPR1"	"-0.384040809366999"	"0.00083163116565892"	"0.0977796643259579"
"MYCN"	"-0.923222862759391"	"0.000824564876023517"	"0.0977796643259579"
"YY1AP1"	"-0.268761239281143"	"0.000827264253077002"	"0.0977796643259579"
"C1orf109"	"0.346793593373507"	"0.000846787062199004"	"0.0980756358606608"
"GCNT2"	"-0.5611275811929"	"0.000843802456957369"	"0.0980756358606608"
"CCT6A"	"0.401164253462069"	"0.000879380762679644"	"0.0989585887897614"
"PLAT"	"-1.05011428036446"	"0.000864842563153231"	"0.0989585887897614"
"PMP22"	"0.980018565664772"	"0.00087991528691927"	"0.0989585887897614"
"SMPD1"	"-0.627980506256116"	"0.000879699114758949"	"0.0989585887897614"
"NAGK"	"-0.437048565931532"	"0.00090762912382099"	"0.101341035983466"
"ZNF285"	"-0.339218710107831"	"0.000930672633302532"	"0.103171709063252"
"AIRE"	"-0.248250109766534"	"0.00095869946353481"	"0.104765907957413"
"CTSE"	"1.01344633221582"	"0.000971537119599066"	"0.104765907957413"
"KRT6B"	"-0.734364435593152"	"0.000972054816099708"	"0.104765907957413"
"MPZL2"	"-0.752845759842185"	"0.000969367114987002"	"0.104765907957413"
"CAPN13"	"0.880937044203811"	"0.00100222301316952"	"0.107272421823386"
"USH1G"	"-0.225265284167035"	"0.00101647997466619"	"0.108053213745337"
"COL6A1"	"1.26831445246697"	"0.00110279354491919"	"0.110935736428045"
"ELMOD3"	"-0.245479653165058"	"0.00106872024307618"	"0.110935736428045"
"NANOS1"	"-0.470924308013099"	"0.00107025323748595"	"0.110935736428045"
"NTN4"	"-1.07178498027665"	"0.00108807533864879"	"0.110935736428045"
"RERG"	"-0.355336179146687"	"0.00109374797727436"	"0.110935736428045"
"STYK1"	"-0.641547503742703"	"0.0010792344053301"	"0.110935736428045"
"TGFBRAP1"	"-0.411160264351173"	"0.00108555597875355"	"0.110935736428045"
"TOX"	"0.768080497342096"	"0.00110792778004813"	"0.110935736428045"
"ZSCAN12P1"	"-0.418440297940633"	"0.00107202057052849"	"0.110935736428045"
"SCAF8"	"0.271305256016709"	"0.00112686618450041"	"0.112108738355426"
"ENTPD3"	"-0.358135583670405"	"0.0011440374637044"	"0.112225500480034"
"SLC4A5"	"-0.224149617989848"	"0.00114074240089558"	"0.112225500480034"
"TIGD7"	"-0.498105349670778"	"0.00114973289795912"	"0.112225500480034"
"CREG2"	"-0.599634313513172"	"0.00118852817428105"	"0.114150290565668"
"EIF3B"	"0.346187188356571"	"0.00120622729721454"	"0.114150290565668"
"F11R"	"-0.62342137609901"	"0.00120410097619621"	"0.114150290565668"
"IGFLR1"	"-0.393030448378648"	"0.00119224894652602"	"0.114150290565668"
"RDX"	"-1.23936388026472"	"0.00119013926172381"	"0.114150290565668"
"TBC1D8"	"-0.57919497564973"	"0.00125837783755788"	"0.118363782053929"
"PLCL2"	"0.756296528465029"	"0.00127878394615567"	"0.119558595447807"
"AKR1D1"	"-0.195727518332197"	"0.00130627056041095"	"0.120672461251166"
"DAB2"	"-1.08285941797731"	"0.00131402357934582"	"0.120672461251166"
"TRIB2"	"-0.861912715144868"	"0.00130359239099469"	"0.120672461251166"
"ECM1"	"-0.879696074530637"	"0.0013305217065389"	"0.121046458047127"
"HMX2"	"-0.324682329670866"	"0.0013657583555879"	"0.121046458047127"
"MB"	"-0.636981624166269"	"0.0013593230397937"	"0.121046458047127"
"NDUFB4"	"-0.204451881042733"	"0.00134129956383532"	"0.121046458047127"
"PIGR"	"1.65220808533065"	"0.00137619923274729"	"0.121046458047127"
"USP49"	"-0.495259542854059"	"0.00138049117747046"	"0.121046458047127"
"YPEL3"	"-0.612176711440666"	"0.00134248607015126"	"0.121046458047127"
"ZNF215"	"0.470047239242197"	"0.0013702613043205"	"0.121046458047127"
"C4BPA"	"-0.558144655362639"	"0.00140799274872345"	"0.121879155876799"
"SYCP2"	"-0.41394390750573"	"0.00141456052393191"	"0.121879155876799"
"TSPYL4"	"0.340182291247586"	"0.00142139994933638"	"0.121879155876799"
"ZNF652"	"-0.322238188671883"	"0.0013999482311619"	"0.121879155876799"
"MAP3K13"	"-0.470485791418947"	"0.00144061278367839"	"0.122176559577534"
"SPN"	"-0.622234712063152"	"0.001439562131327"	"0.122176559577534"
"ST6GALNAC3"	"-0.477185594659403"	"0.00145147182521288"	"0.122428493083173"
"UPK2"	"-0.773608644227808"	"0.00148199315566599"	"0.124327209599655"
"PI4KB"	"-0.30854330455955"	"0.00149068538128168"	"0.124384070524149"
"ENSA"	"-0.432290329526496"	"0.00150883992321513"	"0.124559551107972"
"LGR6"	"0.841812169260939"	"0.00150861678462198"	"0.124559551107972"
"INHBB"	"-1.26439816582794"	"0.00153500819549196"	"0.12556517143972"
"PTH2R"	"-0.477520293472293"	"0.00153720248540895"	"0.12556517143972"
"GZMB"	"1.53161891471767"	"0.00155967055299242"	"0.12607336970022"
"TNFSF15"	"-0.645217489049832"	"0.00155651180720325"	"0.12607336970022"
"PGAP3"	"-0.603457790749549"	"0.00159109758157211"	"0.127287806525769"
"SPON1"	"1.44406595719767"	"0.00158439204936992"	"0.127287806525769"
"C5orf30"	"0.352551948587179"	"0.00160908973513896"	"0.127413636170187"
"ZNF557"	"-0.227462658911302"	"0.00160706723376518"	"0.127413636170187"
"MAGEA12"	"-0.70652377022198"	"0.00162451956950982"	"0.127982455425342"
"PTGER2"	"1.13526004193883"	"0.0016347229312766"	"0.12813585804754"
"ACBD6"	"-0.303324176966115"	"0.00165742401144723"	"0.129262415365131"
"BHLHE41"	"0.947754266057141"	"0.00167178209914055"	"0.129730290893307"
"HMCES"	"-0.330831128060134"	"0.00168034902491968"	"0.129746352570912"
"ACTA2"	"-0.919580471000223"	"0.00169949105278285"	"0.129931532705368"
"PROM2"	"-1.21878419616215"	"0.00169242007016478"	"0.129931532705368"
"TRIM6"	"-0.574644038205199"	"0.00173133103775754"	"0.131716949539201"
"STXBP5"	"0.42540173817875"	"0.00180254521571807"	"0.136465862185095"
"ZNF14"	"-0.451359406980962"	"0.00182674851660502"	"0.137626878532572"
"MAP4K4"	"-0.54514587428253"	"0.00185189806192072"	"0.13884762280681"
"HSPA9"	"0.332473745063037"	"0.00188702795037598"	"0.140801316297285"
"ALPP"	"-0.864366346997466"	"0.0019866392751841"	"0.144077764256342"
"HEY2"	"0.709819625131607"	"0.00197880602382765"	"0.144077764256342"
"LEFTY1"	"-0.560744980566757"	"0.00197324144917588"	"0.144077764256342"
"OARD1"	"-0.575320358529385"	"0.00196614948231105"	"0.144077764256342"
"PARD6B"	"-0.327064262265194"	"0.0019418034947464"	"0.144077764256342"
"TYW1"	"0.24982884640663"	"0.00197962352263333"	"0.144077764256342"
"NCF4"	"-0.357832796607116"	"0.0020035544556646"	"0.144628675125184"
"SOCS1"	"-0.311012258750997"	"0.00201839796614244"	"0.145025631641346"
"AQP3"	"1.03101121591307"	"0.00208916723397741"	"0.148116516369009"
"CA4"	"-0.422407870036549"	"0.00210913338386282"	"0.148116516369009"
"KLHDC4"	"-0.362574738038057"	"0.00210447094072328"	"0.148116516369009"
"MED25"	"-0.311558479753696"	"0.00210346799455423"	"0.148116516369009"
"RHBDL1"	"-0.600246409394563"	"0.00207563915136975"	"0.148116516369009"
"CTNNBIP1"	"-0.49819975995361"	"0.00213779883382843"	"0.148239560523756"
"KLRF1"	"-0.360536640314907"	"0.00213757362863101"	"0.148239560523756"
"LRRTM1"	"-0.249725812881397"	"0.00214909156687146"	"0.148239560523756"
"MDM2"	"-0.362050140070202"	"0.00214760632248225"	"0.148239560523756"
"MAMLD1"	"0.732928998548376"	"0.00216066091441263"	"0.148378130051699"
"BATF3"	"0.675936750356811"	"0.00218655019793676"	"0.148838855578853"
"HBA2"	"1.44025917167067"	"0.0021822938399734"	"0.148838855578853"
"KRT13"	"1.24126299068851"	"0.0022278125558172"	"0.149678142278281"
"TAF10"	"-0.390852878520651"	"0.0022149424957222"	"0.149678142278281"
"TRAFD1"	"-0.34187843558247"	"0.00222000209389535"	"0.149678142278281"
"GDPD2"	"-0.232098375645241"	"0.0022378641061831"	"0.149705391930869"
"DKK4"	"1.05493874839117"	"0.00226639744926304"	"0.149778124045783"
"LEP"	"-0.249286300397606"	"0.00227755394811887"	"0.149778124045783"
"LRRC8B"	"0.273695254120604"	"0.00227508292999669"	"0.149778124045783"
"PRSS23"	"-1.0517257081511"	"0.00225500451470642"	"0.149778124045783"
"C11orf21"	"-0.337352402640991"	"0.00228989703598217"	"0.149954438811997"
"IKZF2"	"-0.253002598377134"	"0.00231410814987694"	"0.150903186916345"
"MT1M"	"0.694586331053554"	"0.00236122898303285"	"0.153331689609497"
"ATP10D"	"-0.37542890536777"	"0.00240019916161537"	"0.154800111212114"
