"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0043044"	"GO:0043044"	"ATP-dependent chromatin remodeling"	"4/89"	"89/18862"	0.000832963287122572	0.384082208653625	0.372347962149298	"RBBP4/ACTR8/CENPO/RUVBL1"	4
"GO:0034308"	"GO:0034308"	"primary alcohol metabolic process"	"4/89"	"94/18862"	0.0010219003836406	0.384082208653625	0.372347962149298	"RPE65/BMP6/CBR4/CHKA"	4
"GO:0034080"	"GO:0034080"	"CENP-A containing nucleosome assembly"	"3/89"	"43/18862"	0.00109333368154375	0.384082208653625	0.372347962149298	"RBBP4/CENPO/RUVBL1"	3
"GO:0061641"	"GO:0061641"	"CENP-A containing chromatin organization"	"3/89"	"43/18862"	0.00109333368154375	0.384082208653625	0.372347962149298	"RBBP4/CENPO/RUVBL1"	3
"GO:0034975"	"GO:0034975"	"protein folding in endoplasmic reticulum"	"2/89"	"11/18862"	0.00117777103294509	0.384082208653625	0.372347962149298	"CALR/PDIA3"	2
"GO:0031055"	"GO:0031055"	"chromatin remodeling at centromere"	"3/89"	"47/18862"	0.0014171473729853	0.384082208653625	0.372347962149298	"RBBP4/CENPO/RUVBL1"	3
"GO:0006336"	"GO:0006336"	"DNA replication-independent nucleosome assembly"	"3/89"	"53/18862"	0.00200608116272244	0.384082208653625	0.372347962149298	"RBBP4/CENPO/RUVBL1"	3
"GO:0006260"	"GO:0006260"	"DNA replication"	"6/89"	"280/18862"	0.0021047717690686	0.384082208653625	0.372347962149298	"USP37/RBBP4/RAD9A/EGFR/ATG7/RMI1"	6
"GO:0034724"	"GO:0034724"	"DNA replication-independent nucleosome organization"	"3/89"	"54/18862"	0.00211689098537007	0.384082208653625	0.372347962149298	"RBBP4/CENPO/RUVBL1"	3
"GO:0034508"	"GO:0034508"	"centromere complex assembly"	"3/89"	"56/18862"	0.00234976104566395	0.384082208653625	0.372347962149298	"RBBP4/CENPO/RUVBL1"	3
"GO:0043486"	"GO:0043486"	"histone exchange"	"3/89"	"58/18862"	0.0025979152695677	0.384082208653625	0.372347962149298	"RBBP4/CENPO/RUVBL1"	3
"GO:0046887"	"GO:0046887"	"positive regulation of hormone secretion"	"4/89"	"124/18862"	0.00282448404107664	0.384082208653625	0.372347962149298	"BMP6/EGFR/BAIAP3/EDN1"	4
"GO:0070875"	"GO:0070875"	"positive regulation of glycogen metabolic process"	"2/89"	"18/18862"	0.00320675107944058	0.384082208653625	0.372347962149298	"IRS1/PHKG2"	2
"GO:0007623"	"GO:0007623"	"circadian rhythm"	"5/89"	"212/18862"	0.00330735540215887	0.384082208653625	0.372347962149298	"RPE65/DBP/CSNK1D/EGFR/ATG7"	5
"GO:0006766"	"GO:0006766"	"vitamin metabolic process"	"4/89"	"130/18862"	0.00334760786159464	0.384082208653625	0.372347962149298	"RPE65/SLC19A1/HLCS/PLTP"	4
"GO:1901224"	"GO:1901224"	"positive regulation of NIK/NF-kappaB signaling"	"3/89"	"67/18862"	0.00391226122623344	0.40615238939218	0.393743868122331	"EGFR/CALR/EDN1"	3
"GO:0050908"	"GO:0050908"	"detection of light stimulus involved in visual perception"	"2/89"	"21/18862"	0.00436117981934435	0.40615238939218	0.393743868122331	"RPE65/BEST1"	2
"GO:0050962"	"GO:0050962"	"detection of light stimulus involved in sensory perception"	"2/89"	"21/18862"	0.00436117981934435	0.40615238939218	0.393743868122331	"RPE65/BEST1"	2
"GO:0051291"	"GO:0051291"	"protein heterooligomerization"	"2/89"	"24/18862"	0.00567948423155618	0.40615238939218	0.393743868122331	"CBR4/TMEM120B"	2
"GO:0003018"	"GO:0003018"	"vascular process in circulatory system"	"5/89"	"245/18862"	0.0060812986690861	0.40615238939218	0.393743868122331	"SLC19A1/BMP6/EGFR/SLC1A5/EDN1"	5
"GO:0032370"	"GO:0032370"	"positive regulation of lipid transport"	"3/89"	"85/18862"	0.00759046091007515	0.40615238939218	0.393743868122331	"BMP6/PLTP/EDN1"	3
"GO:0046883"	"GO:0046883"	"regulation of hormone secretion"	"5/89"	"260/18862"	0.00776757698809247	0.40615238939218	0.393743868122331	"IRS1/BMP6/EGFR/BAIAP3/EDN1"	5
"GO:0070633"	"GO:0070633"	"transepithelial transport"	"2/89"	"30/18862"	0.00878885017225591	0.40615238939218	0.393743868122331	"BEST1/EDN1"	2
"GO:0030177"	"GO:0030177"	"positive regulation of Wnt signaling pathway"	"4/89"	"179/18862"	0.0102432364914722	0.40615238939218	0.393743868122331	"CSNK1D/ATP6V1C2/EGFR/RUVBL1"	4
"GO:1901661"	"GO:1901661"	"quinone metabolic process"	"2/89"	"34/18862"	0.0111972267462202	0.40615238939218	0.393743868122331	"CBR4/COQ6"	2
"GO:0002474"	"GO:0002474"	"antigen processing and presentation of peptide antigen via MHC class I"	"3/89"	"99/18862"	0.0114989082754114	0.40615238939218	0.393743868122331	"ERAP1/CALR/PDIA3"	3
"GO:0033144"	"GO:0033144"	"negative regulation of intracellular steroid hormone receptor signaling pathway"	"2/89"	"35/18862"	0.0118397346243643	0.40615238939218	0.393743868122331	"FOXH1/CALR"	2
"GO:0042554"	"GO:0042554"	"superoxide anion generation"	"2/89"	"35/18862"	0.0118397346243643	0.40615238939218	0.393743868122331	"EGFR/EDN1"	2
