"ID" "Description" "geneID" "Count" "p_adjust" "pvalue" "GeneRatio"
"hsa00970" "Aminoacyl-tRNA biosynthesis" "4571/4556/4574/4579/4511/4572/4570" 7 3.86290092044247e-06 3.09032073635397e-08 "7/41"
"hsa05120" "Epithelial cell signaling in Helicobacter pylori infection" "245973/1956" 2 0.673104482582507 0.0485429720346989 "2/41"
"hsa05230" "Central carbon metabolism in cancer" "1956/6510" 2 0.673104482582507 0.0485429720346989 "2/41"
"hsa00130" "Ubiquinone and other terpenoid-quinone biosynthesis" "51004" 1 0.673104482582507 0.0542714490759265 "1/41"
"hsa04612" "Antigen processing and presentation" "811/2923" 2 0.673104482582507 0.0588656624917973 "2/41"
"hsa04540" "Gap junction" "1453/1956" 2 0.673104482582507 0.0727266154220532 "2/41"
"hsa00061" "Fatty acid biosynthesis" "84869" 1 0.673104482582507 0.0873001217227404 "1/41"
"hsa00564" "Glycerophospholipid metabolism" "1119/54675" 2 0.673104482582507 0.0875290464252657 "2/41"
"hsa05231" "Choline metabolism in cancer" "1956/1119" 2 0.673104482582507 0.0875290464252657 "2/41"
"hsa05163" "Human cytomegalovirus infection" "1956/811/2923" 3 0.673104482582507 0.104286885561584 "3/41"
"hsa04066" "HIF-1 signaling pathway" "1956/1906" 2 0.673104482582507 0.104753899831913 "2/41"
"hsa04977" "Vitamin digestion and absorption" "6573" 1 0.673104482582507 0.114712517283412 "1/41"
"hsa04020" "Calcium signaling pathway" "2925/1956/5261" 3 0.673104482582507 0.120400650942568 "3/41"
"hsa04966" "Collecting duct acid secretion" "245973" 1 0.673104482582507 0.128115828270713 "1/41"
"hsa04926" "Relaxin signaling pathway" "1956/1906" 2 0.673104482582507 0.13813427768388 "2/41"
"hsa04068" "FoxO signaling pathway" "3667/1956" 2 0.673104482582507 0.141594258169813 "2/41"
"hsa01523" "Antifolate resistance" "6573" 1 0.673104482582507 0.145679325079733 "1/41"
"hsa04710" "Circadian rhythm" "1453" 1 0.673104482582507 0.145679325079733 "1/41"
"hsa04136" "Autophagy - other" "10533" 1 0.673104482582507 0.150015978251917 "1/41"
"hsa04910" "Insulin signaling pathway" "3667/5261" 2 0.673104482582507 0.152086359871753 "2/41"
"hsa04130" "SNARE interactions in vesicular transport" "10490" 1 0.673104482582507 0.154331152210767 "1/41"
"hsa04140" "Autophagy - animal" "3667/10533" 2 0.673104482582507 0.15916759010989 "2/41"
"hsa00350" "Tyrosine metabolism" "220074" 1 0.673104482582507 0.167148833754493 "1/41"
"hsa04960" "Aldosterone-regulated sodium reabsorption" "3667" 1 0.673104482582507 0.171379123374917 "1/41"
"hsa04145" "Phagosome" "245973/811" 2 0.673104482582507 0.178949806430452 "2/41"
"hsa04150" "mTOR signaling pathway" "3667/245973" 2 0.673104482582507 0.184413623163751 "2/41"
"hsa04218" "Cellular senescence" "5928/5883" 2 0.673104482582507 0.186240677342823 "2/41"
"hsa04390" "Hippo signaling pathway" "1453/654" 2 0.673104482582507 0.188070500504506 "2/41"
"hsa04216" "Ferroptosis" "10533" 1 0.673104482582507 0.188091638866342 "1/41"
"hsa05219" "Bladder cancer" "1956" 1 0.673104482582507 0.188091638866342 "1/41"
"hsa04630" "JAK-STAT signaling pathway" "53342/1956" 2 0.673104482582507 0.1972586443467 "2/41"
"hsa04930" "Type II diabetes mellitus" "3667" 1 0.673104482582507 0.208520346552008 "1/41"
"hsa04141" "Protein processing in endoplasmic reticulum" "811/2923" 2 0.673104482582507 0.213939432238719 "2/41"
"hsa04979" "Cholesterol metabolism" "5360" 1 0.673104482582507 0.224501445914158 "1/41"
"hsa05110" "Vibrio cholerae infection" "245973" 1 0.673104482582507 0.224501445914158 "1/41"
"hsa04913" "Ovarian steroidogenesis" "654" 1 0.673104482582507 0.228447268788013 "1/41"
"hsa03460" "Fanconi anemia pathway" "80010" 1 0.673104482582507 0.240167579069382 "1/41"
"hsa04340" "Hedgehog signaling pathway" "1453" 1 0.673104482582507 0.247884430078293 "1/41"
"hsa01212" "Fatty acid metabolism" "84869" 1 0.673104482582507 0.251714129329012 "1/41"
"hsa04923" "Regulation of lipolysis in adipocytes" "3667" 1 0.673104482582507 0.251714129329012 "1/41"
"hsa05213" "Endometrial cancer" "1956" 1 0.673104482582507 0.255524801381864 "1/41"
"hsa00140" "Steroid hormone biosynthesis" "220074" 1 0.673104482582507 0.266843573993791 "1/41"
"hsa04213" "Longevity regulating pathway - multiple species" "3667" 1 0.673104482582507 0.27057905472776 "1/41"
"hsa05169" "Epstein-Barr virus infection" "811/2923" 2 0.673104482582507 0.272212409182077 "2/41"
"hsa05170" "Human immunodeficiency virus 1 infection" "811/2923" 2 0.673104482582507 0.291091541788946 "2/41"
"hsa00830" "Retinol metabolism" "6121" 1 0.673104482582507 0.292605092102089 "1/41"
"hsa04920" "Adipocytokine signaling pathway" "3667" 1 0.673104482582507 0.296212454194603 "1/41"
"hsa04924" "Renin secretion" "1906" 1 0.673104482582507 0.296212454194603 "1/41"
"hsa04520" "Adherens junction" "1956" 1 0.673104482582507 0.303373417546068 "1/41"
"hsa05218" "Melanoma" "1956" 1 0.673104482582507 0.306927192571651 "1/41"
"hsa05223" "Non-small cell lung cancer" "1956" 1 0.673104482582507 0.306927192571651 "1/41"
"hsa05214" "Glioma" "1956" 1 0.673104482582507 0.317482725040196 "1/41"
"hsa03320" "PPAR signaling pathway" "5360" 1 0.673104482582507 0.320966256507064 "1/41"
"hsa05212" "Pancreatic cancer" "1956" 1 0.673104482582507 0.320966256507064 "1/41"
"hsa04721" "Synaptic vesicle cycle" "245973" 1 0.673104482582507 0.327881358894303 "1/41"
"hsa01521" "EGFR tyrosine kinase inhibitor resistance" "1956" 1 0.673104482582507 0.331313097908666 "1/41"
"hsa04012" "ErbB signaling pathway" "1956" 1 0.673104482582507 0.35154739411595 "1/41"
"hsa05210" "Colorectal cancer" "1956" 1 0.673104482582507 0.354861186567807 "1/41"
"hsa04211" "Longevity regulating pathway" "3667" 1 0.673104482582507 0.364703743772381 "1/41"
"hsa05235" "PD-L1 expression and PD-1 checkpoint pathway in cancer" "1956" 1 0.673104482582507 0.364703743772381 "1/41"
