"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0000800"	"GO:0000800"	"lateral element"	"1/13"	"14/19520"	0.00928659558857869	0.101933187650083	0.0731577901794853	"BRCA1"	1
"GO:0043034"	"GO:0043034"	"costamere"	"1/13"	"18/19520"	0.0119252489695564	0.101933187650083	0.0731577901794853	"KRT8"	1
"GO:0016010"	"GO:0016010"	"dystrophin-associated glycoprotein complex"	"1/13"	"19/19520"	0.0125838979165053	0.101933187650083	0.0731577901794853	"KRT8"	1
"GO:0090665"	"GO:0090665"	"glycoprotein complex"	"1/13"	"19/19520"	0.0125838979165053	0.101933187650083	0.0731577901794853	"KRT8"	1
"GO:0000930"	"GO:0000930"	"gamma-tubulin complex"	"1/13"	"21/19520"	0.0138999801341022	0.101933187650083	0.0731577901794853	"BRCA1"	1
"GO:0016327"	"GO:0016327"	"apicolateral plasma membrane"	"1/13"	"21/19520"	0.0138999801341022	0.101933187650083	0.0731577901794853	"KRT8"	1
"GO:0097431"	"GO:0097431"	"mitotic spindle pole"	"1/13"	"34/19520"	0.0224151237440207	0.113081626090171	0.0811590617872038	"RMDN1"	1
"GO:0016592"	"GO:0016592"	"mediator complex"	"1/13"	"40/19520"	0.0263222523591526	0.113081626090171	0.0811590617872038	"MED22"	1
"GO:0000795"	"GO:0000795"	"synaptonemal complex"	"1/13"	"42/19520"	0.0276214219494521	0.113081626090171	0.0811590617872038	"BRCA1"	1
"GO:0099086"	"GO:0099086"	"synaptonemal structure"	"1/13"	"42/19520"	0.0276214219494521	0.113081626090171	0.0811590617872038	"BRCA1"	1
"GO:0000152"	"GO:0000152"	"nuclear ubiquitin ligase complex"	"1/13"	"43/19520"	0.0282704065225426	0.113081626090171	0.0811590617872038	"BRCA1"	1
"GO:0034707"	"GO:0034707"	"chloride channel complex"	"1/13"	"50/19520"	0.0328021154640747	0.120274423368274	0.0863213564844072	"BEST1"	1
"GO:0005911"	"GO:0005911"	"cell-cell junction"	"2/13"	"485/19520"	0.0400965882483388	0.135711529455916	0.097400619226734	"KRT8/CCDC85C"	2
"GO:0005876"	"GO:0005876"	"spindle microtubule"	"1/13"	"71/19520"	0.0462804592384597	0.145452871892302	0.104392013319834	"RMDN1"	1
"GO:0000794"	"GO:0000794"	"condensed nuclear chromosome"	"1/13"	"88/19520"	0.0570642802277467	0.156189682054913	0.112097857934148	"BRCA1"	1
"GO:0045095"	"GO:0045095"	"keratin filament"	"1/13"	"96/19520"	0.062099973263251	0.156189682054913	0.112097857934148	"KRT8"	1
"GO:0016363"	"GO:0016363"	"nuclear matrix"	"1/13"	"109/19520"	0.0702300573541267	0.156189682054913	0.112097857934148	"KRT8"	1
"GO:0005923"	"GO:0005923"	"bicellular tight junction"	"1/13"	"117/19520"	0.0752007995562293	0.156189682054913	0.112097857934148	"CCDC85C"	1
"GO:0030018"	"GO:0030018"	"Z disc"	"1/13"	"122/19520"	0.0782950443919022	0.156189682054913	0.112097857934148	"KRT8"	1
"GO:0070160"	"GO:0070160"	"tight junction"	"1/13"	"124/19520"	0.0795300642935107	0.156189682054913	0.112097857934148	"CCDC85C"	1
"GO:0034399"	"GO:0034399"	"nuclear periphery"	"1/13"	"128/19520"	0.0819955227231118	0.156189682054913	0.112097857934148	"KRT8"	1
"GO:0031674"	"GO:0031674"	"I band"	"1/13"	"134/19520"	0.0856822828933697	0.156189682054913	0.112097857934148	"KRT8"	1
"GO:0042383"	"GO:0042383"	"sarcolemma"	"1/13"	"134/19520"	0.0856822828933697	0.156189682054913	0.112097857934148	"KRT8"	1
"GO:0043296"	"GO:0043296"	"apical junction complex"	"1/13"	"137/19520"	0.0875205332461276	0.156189682054913	0.112097857934148	"CCDC85C"	1
"GO:0001650"	"GO:0001650"	"fibrillar center"	"1/13"	"139/19520"	0.0887441375312008	0.156189682054913	0.112097857934148	"DEAF1"	1
"GO:0072686"	"GO:0072686"	"mitotic spindle"	"1/13"	"157/19520"	0.0996886181689579	0.168703815362852	0.121079293322621	"RMDN1"	1
"GO:0000922"	"GO:0000922"	"spindle pole"	"1/13"	"166/19520"	0.1051152380039	0.170839732552771	0.122612248243615	"RMDN1"	1
"GO:0005912"	"GO:0005912"	"adherens junction"	"1/13"	"172/19520"	0.108716193442672	0.170839732552771	0.122612248243615	"CCDC85C"	1
"GO:0030017"	"GO:0030017"	"sarcomere"	"1/13"	"203/19520"	0.127108992676861	0.183968258969968	0.132034635624379	"KRT8"	1
"GO:0016323"	"GO:0016323"	"basolateral plasma membrane"	"1/13"	"211/19520"	0.131798307752026	0.183968258969968	0.132034635624379	"BEST1"	1
"GO:0005882"	"GO:0005882"	"intermediate filament"	"1/13"	"215/19520"	0.134134234827175	0.183968258969968	0.132034635624379	"KRT8"	1
"GO:0000793"	"GO:0000793"	"condensed chromosome"	"1/13"	"217/19520"	0.135300021547556	0.183968258969968	0.132034635624379	"BRCA1"	1
"GO:0030016"	"GO:0030016"	"myofibril"	"1/13"	"224/19520"	0.139368874969114	0.183968258969968	0.132034635624379	"KRT8"	1
"GO:0043292"	"GO:0043292"	"contractile fiber"	"1/13"	"231/19520"	0.143420048733996	0.183968258969968	0.132034635624379	"KRT8"	1
"GO:0009925"	"GO:0009925"	"basal plasma membrane"	"1/13"	"240/19520"	0.148602835784733	0.183968258969968	0.132034635624379	"BEST1"	1
"GO:0000228"	"GO:0000228"	"nuclear chromosome"	"1/13"	"250/19520"	0.154327529049282	0.183968258969968	0.132034635624379	"BRCA1"	1
"GO:0045111"	"GO:0045111"	"intermediate filament cytoskeleton"	"1/13"	"256/19520"	0.157745268209223	0.183968258969968	0.132034635624379	"KRT8"	1
"GO:0045178"	"GO:0045178"	"basal part of cell"	"1/13"	"258/19520"	0.158881678201336	0.183968258969968	0.132034635624379	"BEST1"	1
"GO:0000151"	"GO:0000151"	"ubiquitin ligase complex"	"1/13"	"289/19520"	0.176316021654671	0.198920639815526	0.14276600943698	"BRCA1"	1
"GO:0034702"	"GO:0034702"	"ion channel complex"	"1/13"	"301/19520"	0.182974777264092	0.201272254990501	0.144453771524283	"BEST1"	1
"GO:1902495"	"GO:1902495"	"transmembrane transporter complex"	"1/13"	"323/19520"	0.19505360694349	0.209325822085697	0.150233843602175	"BEST1"	1
"GO:1990351"	"GO:1990351"	"transporter complex"	"1/13"	"338/19520"	0.203194430336298	0.212870355590407	0.152777767170149	"BEST1"	1
"GO:0005819"	"GO:0005819"	"spindle"	"1/13"	"381/19520"	0.226112170320785	0.231370592886384	0.166055449439989	"RMDN1"	1
"GO:0005874"	"GO:0005874"	"microtubule"	"1/13"	"423/19520"	0.247908126328515	0.247908126328515	0.177924492580274	"RMDN1"	1
