"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0043422"	"GO:0043422"	"protein kinase B binding"	"1/13"	"11/18337"	0.00777296773439751	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0001972"	"GO:0001972"	"retinoic acid binding"	"1/13"	"20/18337"	0.0140911443108831	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0051393"	"GO:0051393"	"alpha-actinin binding"	"1/13"	"27/18337"	0.0189795836086227	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0042805"	"GO:0042805"	"actinin binding"	"1/13"	"36/18337"	0.0252318445333172	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0005501"	"GO:0005501"	"retinoid binding"	"1/13"	"37/18337"	0.0259242649486531	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0019840"	"GO:0019840"	"isoprenoid binding"	"1/13"	"38/18337"	0.0266162313178153	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0015631"	"GO:0015631"	"tubulin binding"	"2/13"	"368/18337"	0.027071259035685	0.111767819768997	0.0710804116951955	"RMDN1/BRCA1"	2
"GO:0051018"	"GO:0051018"	"protein kinase A binding"	"1/13"	"51/18337"	0.0355705998988767	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0005216"	"GO:0005216"	"ion channel activity"	"2/13"	"429/18337"	0.0359206915953127	0.111767819768997	0.0710804116951955	"BEST1/ZACN"	2
"GO:0004879"	"GO:0004879"	"nuclear receptor activity"	"1/13"	"52/18337"	0.0362562382124123	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0098531"	"GO:0098531"	"ligand-activated transcription factor activity"	"1/13"	"52/18337"	0.0362562382124123	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0097110"	"GO:0097110"	"scaffold protein binding"	"1/13"	"58/18337"	0.0403606282411416	0.111767819768997	0.0710804116951955	"KRT8"	1
"GO:0016279"	"GO:0016279"	"protein-lysine N-methyltransferase activity"	"1/13"	"60/18337"	0.0417251686036904	0.111767819768997	0.0710804116951955	"EEF2KMT"	1
"GO:0016278"	"GO:0016278"	"lysine N-methyltransferase activity"	"1/13"	"61/18337"	0.0424067669408433	0.111767819768997	0.0710804116951955	"EEF2KMT"	1
"GO:0015267"	"GO:0015267"	"channel activity"	"2/13"	"477/18337"	0.043578549133478	0.111767819768997	0.0710804116951955	"BEST1/ZACN"	2
"GO:0022803"	"GO:0022803"	"passive transmembrane transporter activity"	"2/13"	"478/18337"	0.0437442458141628	0.111767819768997	0.0710804116951955	"BEST1/ZACN"	2
"GO:0003712"	"GO:0003712"	"transcription coregulator activity"	"2/13"	"480/18337"	0.0440763741049911	0.111767819768997	0.0710804116951955	"MED22/BRCA1"	2
"GO:0003684"	"GO:0003684"	"damaged DNA binding"	"1/13"	"66/18337"	0.0458080509620427	0.111767819768997	0.0710804116951955	"BRCA1"	1
"GO:0033293"	"GO:0033293"	"monocarboxylic acid binding"	"1/13"	"71/18337"	0.0491981801948752	0.111767819768997	0.0710804116951955	"RARA"	1
"GO:0005230"	"GO:0005230"	"extracellular ligand-gated ion channel activity"	"1/13"	"73/18337"	0.0505511160641213	0.111767819768997	0.0710804116951955	"ZACN"	1
"GO:0070063"	"GO:0070063"	"RNA polymerase binding"	"1/13"	"73/18337"	0.0505511160641213	0.111767819768997	0.0710804116951955	"BRCA1"	1
"GO:0005254"	"GO:0005254"	"chloride channel activity"	"1/13"	"74/18337"	0.0512269173941237	0.111767819768997	0.0710804116951955	"BEST1"	1
"GO:0050660"	"GO:0050660"	"flavin adenine dinucleotide binding"	"1/13"	"81/18337"	0.0559451083782034	0.113859790350711	0.0724108315826889	"MTO1"	1
"GO:0008276"	"GO:0008276"	"protein methyltransferase activity"	"1/13"	"85/18337"	0.0586314837448026	0.113859790350711	0.0724108315826889	"EEF2KMT"	1
"GO:0005253"	"GO:0005253"	"anion channel activity"	"1/13"	"86/18337"	0.0593019741409953	0.113859790350711	0.0724108315826889	"BEST1"	1
"GO:0008170"	"GO:0008170"	"N-methyltransferase activity"	"1/13"	"98/18337"	0.0673135487791032	0.121085276194746	0.0770059870536764	"EEF2KMT"	1
"GO:0015108"	"GO:0015108"	"chloride transmembrane transporter activity"	"1/13"	"101/18337"	0.0693065770709235	0.121085276194746	0.0770059870536764	"BEST1"	1
"GO:0031490"	"GO:0031490"	"chromatin DNA binding"	"1/13"	"103/18337"	0.0706330777802687	0.121085276194746	0.0770059870536764	"RARA"	1
"GO:0030594"	"GO:0030594"	"neurotransmitter receptor activity"	"1/13"	"111/18337"	0.07592164770565	0.124636302616271	0.0792643152603477	"ZACN"	1
"GO:0043177"	"GO:0043177"	"organic acid binding"	"1/13"	"114/18337"	0.0778976891351693	0.124636302616271	0.0792643152603477	"RARA"	1
"GO:0015276"	"GO:0015276"	"ligand-gated ion channel activity"	"1/13"	"139/18337"	0.0942136591543192	0.141320488731479	0.0898748722195808	"ZACN"	1
"GO:0022834"	"GO:0022834"	"ligand-gated channel activity"	"1/13"	"139/18337"	0.0942136591543192	0.141320488731479	0.0898748722195808	"ZACN"	1
"GO:0015103"	"GO:0015103"	"inorganic anion transmembrane transporter activity"	"1/13"	"145/18337"	0.0980896318430275	0.142675828135313	0.0907368205246507	"BEST1"	1
"GO:0008757"	"GO:0008757"	"S-adenosylmethionine-dependent methyltransferase activity"	"1/13"	"158/18337"	0.106435107779929	0.150261328630489	0.0955609326816704	"EEF2KMT"	1
"GO:0031406"	"GO:0031406"	"carboxylic acid binding"	"1/13"	"184/18337"	0.122912622054631	0.168565881674923	0.107201986152911	"RARA"	1
"GO:0008168"	"GO:0008168"	"methyltransferase activity"	"1/13"	"215/18337"	0.142192168361043	0.189589557814724	0.120572306504978	"EEF2KMT"	1
"GO:0016741"	"GO:0016741"	"transferase activity, transferring one-carbon groups"	"1/13"	"226/18337"	0.148938725070332	0.193217805496647	0.122879744723745	"EEF2KMT"	1
"GO:0003713"	"GO:0003713"	"transcription coactivator activity"	"1/13"	"258/18337"	0.168287589419793	0.212573797161844	0.135189476265208	"BRCA1"	1
"GO:0008017"	"GO:0008017"	"microtubule binding"	"1/13"	"269/18337"	0.174844415321412	0.21519312654943	0.136855277849418	"RMDN1"	1
"GO:0031625"	"GO:0031625"	"ubiquitin protein ligase binding"	"1/13"	"293/18337"	0.188984931415832	0.223278697424458	0.141997417221695	"BRCA1"	1
"GO:0001227"	"GO:0001227"	"DNA-binding transcription repressor activity, RNA polymerase II-specific"	"1/13"	"307/18337"	0.197129921443681	0.223278697424458	0.141997417221695	"DEAF1"	1
"GO:0001217"	"GO:0001217"	"DNA-binding transcription repressor activity"	"1/13"	"309/18337"	0.198287307745818	0.223278697424458	0.141997417221695	"DEAF1"	1
"GO:0044389"	"GO:0044389"	"ubiquitin-like protein ligase binding"	"1/13"	"312/18337"	0.200020499776077	0.223278697424458	0.141997417221695	"BRCA1"	1
"GO:0022836"	"GO:0022836"	"gated channel activity"	"1/13"	"337/18337"	0.214329839603073	0.231640747833537	0.147315387876591	"ZACN"	1
"GO:0060090"	"GO:0060090"	"molecular adaptor activity"	"1/13"	"342/18337"	0.217163201093941	0.231640747833537	0.147315387876591	"MIR12136"	1
"GO:0004842"	"GO:0004842"	"ubiquitin-protein transferase activity"	"1/13"	"429/18337"	0.264978345196171	0.276499142813395	0.17584375310501	"BRCA1"	1
"GO:0019787"	"GO:0019787"	"ubiquitin-like protein transferase activity"	"1/13"	"452/18337"	0.277160520438726	0.28083097714624	0.178598647746512	"BRCA1"	1
"GO:0008509"	"GO:0008509"	"anion transmembrane transporter activity"	"1/13"	"459/18337"	0.28083097714624	0.28083097714624	0.178598647746512	"BEST1"	1
