"ID" "Description" "geneID" "Count" "p_adjust" "pvalue" "GeneRatio"
"hsa00970" "Aminoacyl-tRNA biosynthesis" "4553/4571" 2 0.00464978863822786 0.000387482386518988 "2/4"
"hsa03440" "Homologous recombination" "672" 1 0.0852884146092592 0.0200777161704792 "1/4"
"hsa03460" "Fanconi anemia pathway" "672" 1 0.0852884146092592 0.0263802263163693 "1/4"
"hsa05221" "Acute myeloid leukemia" "5914" 1 0.0852884146092592 0.0326522858470121 "1/4"
"hsa01524" "Platinum drug resistance" "672" 1 0.0852884146092592 0.0355368394205247 "1/4"
"hsa04659" "Th17 cell differentiation" "5914" 1 0.0941135553782432 0.0517609804218613 "1/4"
"hsa04915" "Estrogen signaling pathway" "5914" 1 0.0941135553782432 0.0663743836074194 "1/4"
"hsa04120" "Ubiquitin mediated proteolysis" "672" 1 0.0941135553782432 0.0673113471011341 "1/4"
"hsa05224" "Breast cancer" "672" 1 0.0941135553782432 0.0705851665336824 "1/4"
"hsa05202" "Transcriptional misregulation in cancer" "5914" 1 0.109710999176294 0.0914258326469118 "1/4"
"hsa05206" "MicroRNAs in cancer" "672" 1 0.157539291968353 0.144411017637657 "1/4"
"hsa04151" "PI3K-Akt signaling pathway" "672" 1 0.163562394767906 0.163562394767906 "1/4"
