"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0031573"	"GO:0031573"	"intra-S DNA damage checkpoint"	"2/66"	"17/18862"	0.00158531244532763	0.482999496737447	0.466653725362858	"EME2/RAD9A"	2
"GO:0006450"	"GO:0006450"	"regulation of translational fidelity"	"2/66"	"20/18862"	0.00219983604248408	0.482999496737447	0.466653725362858	"YRDC/GATC"	2
"GO:0042402"	"GO:0042402"	"cellular biogenic amine catabolic process"	"2/66"	"30/18862"	0.00492429762918281	0.482999496737447	0.466653725362858	"AFMID/LRTOMT"	2
"GO:0009310"	"GO:0009310"	"amine catabolic process"	"2/66"	"32/18862"	0.00558963319860725	0.482999496737447	0.466653725362858	"AFMID/LRTOMT"	2
"GO:0016572"	"GO:0016572"	"histone phosphorylation"	"2/66"	"39/18862"	0.00822035655430668	0.482999496737447	0.466653725362858	"DCAF1/MAP3K12"	2
"GO:0032007"	"GO:0032007"	"negative regulation of TOR signaling"	"2/66"	"45/18862"	0.0108358667641703	0.482999496737447	0.466653725362858	"ITFG2/NPRL3"	2
"GO:0034198"	"GO:0034198"	"cellular response to amino acid starvation"	"2/66"	"46/18862"	0.0113030507765849	0.482999496737447	0.466653725362858	"ITFG2/NPRL3"	2
"GO:0038202"	"GO:0038202"	"TORC1 signaling"	"2/66"	"47/18862"	0.0117789922822027	0.482999496737447	0.466653725362858	"ITFG2/NPRL3"	2
"GO:0030183"	"GO:0030183"	"B cell differentiation"	"3/66"	"137/18862"	0.0122932563499383	0.482999496737447	0.466653725362858	"DCAF1/ITFG2/TCIRG1"	3
"GO:1990928"	"GO:1990928"	"response to amino acid starvation"	"2/66"	"49/18862"	0.0127568878384057	0.482999496737447	0.466653725362858	"ITFG2/NPRL3"	2
"GO:0010212"	"GO:0010212"	"response to ionizing radiation"	"3/66"	"142/18862"	0.0135319690912592	0.482999496737447	0.466653725362858	"POLG/TP53BP1/RAD9A"	3
"GO:0048747"	"GO:0048747"	"muscle fiber development"	"2/66"	"53/18862"	0.0148149283214843	0.482999496737447	0.466653725362858	"CXADR/TTN"	2
