"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0060287"	"GO:0060287"	"epithelial cilium movement involved in determination of left/right asymmetry"	"2/144"	"10/18862"	0.00250214048089883	0.671357484184548	0.671357484184548	"CCDC39/OFD1"	2
"GO:0086016"	"GO:0086016"	"AV node cell action potential"	"2/144"	"11/18862"	0.00304289427346211	0.671357484184548	0.671357484184548	"CXADR/CACNB2"	2
"GO:0086027"	"GO:0086027"	"AV node cell to bundle of His cell signaling"	"2/144"	"11/18862"	0.00304289427346211	0.671357484184548	0.671357484184548	"CXADR/CACNB2"	2
"GO:1901068"	"GO:1901068"	"guanosine-containing compound metabolic process"	"3/144"	"40/18862"	0.00350143317201739	0.671357484184548	0.671357484184548	"GTPBP1/IMPDH2/GMPS"	3
"GO:0072015"	"GO:0072015"	"glomerular visceral epithelial cell development"	"2/144"	"12/18862"	0.00363324274174353	0.671357484184548	0.671357484184548	"PODXL/JAG1"	2
"GO:0086067"	"GO:0086067"	"AV node cell to bundle of His cell communication"	"2/144"	"12/18862"	0.00363324274174353	0.671357484184548	0.671357484184548	"CXADR/CACNB2"	2
"GO:0072310"	"GO:0072310"	"glomerular epithelial cell development"	"2/144"	"13/18862"	0.00427240777543202	0.671357484184548	0.671357484184548	"PODXL/JAG1"	2
"GO:1901070"	"GO:1901070"	"guanosine-containing compound biosynthetic process"	"2/144"	"13/18862"	0.00427240777543202	0.671357484184548	0.671357484184548	"IMPDH2/GMPS"	2
"GO:0032897"	"GO:0032897"	"negative regulation of viral transcription"	"2/144"	"15/18862"	0.0056941192424176	0.671357484184548	0.671357484184548	"TRIM14/HEXIM1"	2
"GO:0046037"	"GO:0046037"	"GMP metabolic process"	"2/144"	"15/18862"	0.0056941192424176	0.671357484184548	0.671357484184548	"IMPDH2/GMPS"	2
"GO:0031573"	"GO:0031573"	"intra-S DNA damage checkpoint"	"2/144"	"17/18862"	0.00730197914154726	0.671357484184548	0.671357484184548	"EME2/RAD9A"	2
