"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0000177"	"GO:0000177"	"cytoplasmic exosome (RNase complex)"	"2/150"	"14/19520"	0.00502408353528529	0.457675224271752	0.45041577586946	"GTPBP1/EXOSC9"	2
"GO:0150034"	"GO:0150034"	"distal axon"	"7/150"	"287/19520"	0.00682703270061376	0.457675224271752	0.45041577586946	"CXADR/POLG/MAP3K12/SLC18A2/COPA/ARPC5/CBARP"	7
"GO:0036064"	"GO:0036064"	"ciliary basal body"	"5/150"	"156/19520"	0.00715441400278215	0.457675224271752	0.45041577586946	"FAM166A/SAXO1/CSNK1D/CFAP410/OFD1"	5
"GO:0030660"	"GO:0030660"	"Golgi-associated vesicle membrane"	"3/150"	"52/19520"	0.00746469076895131	0.457675224271752	0.45041577586946	"COPA/CLBA1/SPPL2B"	3
"GO:0030426"	"GO:0030426"	"growth cone"	"5/150"	"178/19520"	0.0122099726809527	0.457675224271752	0.45041577586946	"CXADR/MAP3K12/COPA/ARPC5/CBARP"	5
"GO:0030427"	"GO:0030427"	"site of polarized growth"	"5/150"	"184/19520"	0.0139244947052737	0.457675224271752	0.45041577586946	"CXADR/MAP3K12/COPA/ARPC5/CBARP"	5
"GO:0101002"	"GO:0101002"	"ficolin-1-rich granule"	"5/150"	"185/19520"	0.0142251935724083	0.457675224271752	0.45041577586946	"TCIRG1/ARPC5/IMPDH2/VCL/A1BG"	5
"GO:0000178"	"GO:0000178"	"exosome (RNase complex)"	"2/150"	"24/19520"	0.0144921902083159	0.457675224271752	0.45041577586946	"GTPBP1/EXOSC9"	2
"GO:1904813"	"GO:1904813"	"ficolin-1-rich granule lumen"	"4/150"	"124/19520"	0.0154405676437015	0.457675224271752	0.45041577586946	"ARPC5/IMPDH2/VCL/A1BG"	4
"GO:1905354"	"GO:1905354"	"exoribonuclease complex"	"2/150"	"25/19520"	0.0156738090504025	0.457675224271752	0.45041577586946	"GTPBP1/EXOSC9"	2
"GO:0005669"	"GO:0005669"	"transcription factor TFIID complex"	"2/150"	"34/19520"	0.0280241474093682	0.545011855944097	0.536367111293218	"TAF10/GTF2A2"	2
"GO:0005798"	"GO:0005798"	"Golgi-associated vesicle"	"3/150"	"92/19520"	0.0340050822807344	0.545011855944097	0.536367111293218	"COPA/CLBA1/SPPL2B"	3
"GO:1905368"	"GO:1905368"	"peptidase complex"	"3/150"	"92/19520"	0.0340050822807344	0.545011855944097	0.536367111293218	"HTRA2/UCHL5/SPCS1"	3
"GO:0032588"	"GO:0032588"	"trans-Golgi network membrane"	"3/150"	"95/19520"	0.0368694997681481	0.545011855944097	0.536367111293218	"CLVS1/MARCHF1/CLBA1"	3
"GO:0034774"	"GO:0034774"	"secretory granule lumen"	"6/150"	"322/19520"	0.0383453258124669	0.545011855944097	0.536367111293218	"C6orf120/HRNR/ARPC5/IMPDH2/VCL/A1BG"	6
"GO:0060205"	"GO:0060205"	"cytoplasmic vesicle lumen"	"6/150"	"326/19520"	0.0403215159004644	0.545011855944097	0.536367111293218	"C6orf120/HRNR/ARPC5/IMPDH2/VCL/A1BG"	6
"GO:0031983"	"GO:0031983"	"vesicle lumen"	"6/150"	"328/19520"	0.0413334517687352	0.545011855944097	0.536367111293218	"C6orf120/HRNR/ARPC5/IMPDH2/VCL/A1BG"	6
"GO:0030672"	"GO:0030672"	"synaptic vesicle membrane"	"3/150"	"103/19520"	0.045091620232193	0.545011855944097	0.536367111293218	"DOC2A/SLC18A2/CBARP"	3
"GO:0099501"	"GO:0099501"	"exocytic vesicle membrane"	"3/150"	"103/19520"	0.045091620232193	0.545011855944097	0.536367111293218	"DOC2A/SLC18A2/CBARP"	3
"GO:0031312"	"GO:0031312"	"extrinsic component of organelle membrane"	"2/150"	"52/19520"	0.0606008802886879	0.545011855944097	0.536367111293218	"DOC2A/COQ5"	2
"GO:0043195"	"GO:0043195"	"terminal bouton"	"2/150"	"52/19520"	0.0606008802886879	0.545011855944097	0.536367111293218	"POLG/SLC18A2"	2
"GO:0030136"	"GO:0030136"	"clathrin-coated vesicle"	"4/150"	"192/19520"	0.0609508476531928	0.545011855944097	0.536367111293218	"CLVS1/DENND1C/SLC18A2/CLBA1"	4
"GO:0030120"	"GO:0030120"	"vesicle coat"	"2/150"	"55/19520"	0.0668754231078997	0.545011855944097	0.536367111293218	"COPA/CLBA1"	2
"GO:0030018"	"GO:0030018"	"Z disc"	"3/150"	"122/19520"	0.0678888556005083	0.545011855944097	0.536367111293218	"FKBP1B/SYNC/TTN"	3
"GO:0032593"	"GO:0032593"	"insulin-responsive compartment"	"1/150"	"10/19520"	0.0742572528483522	0.545011855944097	0.536367111293218	"DENND4C"	1
"GO:0033179"	"GO:0033179"	"proton-transporting V-type ATPase, V0 domain"	"1/150"	"10/19520"	0.0742572528483522	0.545011855944097	0.536367111293218	"TCIRG1"	1
"GO:0045179"	"GO:0045179"	"apical cortex"	"1/150"	"10/19520"	0.0742572528483522	0.545011855944097	0.536367111293218	"PRKCZ"	1
"GO:0030658"	"GO:0030658"	"transport vesicle membrane"	"4/150"	"206/19520"	0.0747196522613808	0.545011855944097	0.536367111293218	"DOC2A/SLC18A2/CLBA1/CBARP"	4
"GO:0030135"	"GO:0030135"	"coated vesicle"	"5/150"	"295/19520"	0.0776580909288993	0.545011855944097	0.536367111293218	"CLVS1/DENND1C/SLC18A2/COPA/CLBA1"	5
"GO:0005778"	"GO:0005778"	"peroxisomal membrane"	"2/150"	"61/19520"	0.080027337939974	0.545011855944097	0.536367111293218	"PEX10/IMPDH2"	2
"GO:0031903"	"GO:0031903"	"microbody membrane"	"2/150"	"61/19520"	0.080027337939974	0.545011855944097	0.536367111293218	"PEX10/IMPDH2"	2
"GO:0035631"	"GO:0035631"	"CD40 receptor complex"	"1/150"	"11/19520"	0.0813747009299896	0.545011855944097	0.536367111293218	"HTRA2"	1
"GO:0031674"	"GO:0031674"	"I band"	"3/150"	"134/19520"	0.0844989158229232	0.545011855944097	0.536367111293218	"FKBP1B/SYNC/TTN"	3
"GO:0042383"	"GO:0042383"	"sarcolemma"	"3/150"	"134/19520"	0.0844989158229232	0.545011855944097	0.536367111293218	"SYNC/CACNB2/VCL"	3
