"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0004955"	"GO:0004955"	"prostaglandin receptor activity"	"2/153"	"10/18337"	0.00297872327117833	0.22445646542723	0.222371730454222	"PTGIR/PTGDR2"	2
"GO:0016884"	"GO:0016884"	"carbon-nitrogen ligase activity, with glutamine as amido-N-donor"	"2/153"	"10/18337"	0.00297872327117833	0.22445646542723	0.222371730454222	"GATC/GMPS"	2
"GO:0004954"	"GO:0004954"	"prostanoid receptor activity"	"2/153"	"11/18337"	0.00362077737483851	0.22445646542723	0.222371730454222	"PTGIR/PTGDR2"	2
"GO:0086080"	"GO:0086080"	"protein binding involved in heterotypic cell-cell adhesion"	"2/153"	"11/18337"	0.00362077737483851	0.22445646542723	0.222371730454222	"CXADR/CD200"	2
"GO:0140036"	"GO:0140036"	"ubiquitin-dependent protein binding"	"2/153"	"11/18337"	0.00362077737483851	0.22445646542723	0.222371730454222	"TP53BP1/FAAP20"	2
"GO:0005543"	"GO:0005543"	"phospholipid binding"	"10/153"	"451/18337"	0.00463180555277554	0.22445646542723	0.222371730454222	"CLVS1/SNX32/DENND1C/DOC2A/ZFYVE16/RUBCN/NOXO1/ZCCHC14/MPPE1/JAG1"	10
"GO:0030331"	"GO:0030331"	"estrogen receptor binding"	"3/153"	"41/18337"	0.00481377727745727	0.22445646542723	0.222371730454222	"DCAF1/TAF10/PPID"	3
"GO:0140035"	"GO:0140035"	"ubiquitination-like modification-dependent protein binding"	"2/153"	"13/18337"	0.00507903770289323	0.22445646542723	0.222371730454222	"TP53BP1/FAAP20"	2
"GO:0035091"	"GO:0035091"	"phosphatidylinositol binding"	"7/153"	"253/18337"	0.0054013587937034	0.22445646542723	0.222371730454222	"CLVS1/SNX32/DENND1C/ZFYVE16/RUBCN/ZCCHC14/MPPE1"	7
"GO:0004953"	"GO:0004953"	"icosanoid receptor activity"	"2/153"	"15/18337"	0.00676285607814664	0.252930817322684	0.250581614685012	"PTGIR/PTGDR2"	2
"GO:0061629"	"GO:0061629"	"RNA polymerase II-specific DNA-binding transcription factor binding"	"7/153"	"271/18337"	0.00776969328725245	0.264169571766583	0.261715984412714	"DCAF1/TP53BP1/SETD6/TAF10/EXOSC9/PPID/GTF2A2"	7
"GO:0008408"	"GO:0008408"	"3'-5' exonuclease activity"	"3/153"	"55/18337"	0.010884917109295	0.339246583239694	0.33609568618174	"POLG/RAD9A/EXOSC9"	3
"GO:0140297"	"GO:0140297"	"DNA-binding transcription factor binding"	"8/153"	"376/18337"	0.0137409230228036	0.395315785425273	0.391644121783552	"DCAF1/TP53BP1/SETD6/TAF10/EXOSC9/PPID/GTF2A2/GABPA"	8
"GO:0043015"	"GO:0043015"	"gamma-tubulin binding"	"2/153"	"28/18337"	0.0226849963858997	0.542640186626102	0.537600184892733	"TUBGCP2/OFD1"	2
"GO:0035258"	"GO:0035258"	"steroid hormone receptor binding"	"3/153"	"77/18337"	0.0265938892991539	0.542640186626102	0.537600184892733	"DCAF1/TAF10/PPID"	3
"GO:0033613"	"GO:0033613"	"activating transcription factor binding"	"3/153"	"78/18337"	0.0274928556707892	0.542640186626102	0.537600184892733	"TP53BP1/EXOSC9/GABPA"	3
"GO:0004527"	"GO:0004527"	"exonuclease activity"	"3/153"	"82/18337"	0.0312492501243216	0.542640186626102	0.537600184892733	"POLG/RAD9A/EXOSC9"	3
"GO:0003755"	"GO:0003755"	"peptidyl-prolyl cis-trans isomerase activity"	"2/153"	"38/18337"	0.0399738793814797	0.542640186626102	0.537600184892733	"FKBP1B/PPID"	2
"GO:0016251"	"GO:0016251"	"RNA polymerase II general transcription initiation factor activity"	"2/153"	"38/18337"	0.0399738793814797	0.542640186626102	0.537600184892733	"TAF10/GTF2A2"	2
"GO:0032451"	"GO:0032451"	"demethylase activity"	"2/153"	"39/18337"	0.0419088276953004	0.542640186626102	0.537600184892733	"MMACHC/KDM2B"	2
"GO:0016859"	"GO:0016859"	"cis-trans isomerase activity"	"2/153"	"41/18337"	0.0458816170434527	0.542640186626102	0.537600184892733	"FKBP1B/PPID"	2
"GO:0016922"	"GO:0016922"	"nuclear receptor binding"	"3/153"	"97/18337"	0.0475872006542652	0.542640186626102	0.537600184892733	"DCAF1/TAF10/PPID"	3
"GO:0140223"	"GO:0140223"	"general transcription initiation factor activity"	"2/153"	"45/18337"	0.0542194127923269	0.542640186626102	0.537600184892733	"TAF10/GTF2A2"	2
"GO:1901981"	"GO:1901981"	"phosphatidylinositol phosphate binding"	"4/153"	"171/18337"	0.055170314857687	0.542640186626102	0.537600184892733	"CLVS1/DENND1C/ZFYVE16/RUBCN"	4
"GO:0106311"	"GO:0106311"	"protein threonine kinase activity"	"5/153"	"248/18337"	0.0570728149495682	0.542640186626102	0.537600184892733	"DCAF1/MYLK4/TTN/PKMYT1/CSNK1D"	5
"GO:0106310"	"GO:0106310"	"protein serine kinase activity"	"5/153"	"249/18337"	0.0578683732170974	0.542640186626102	0.537600184892733	"DCAF1/MYLK4/TTN/PKMYT1/CSNK1D"	5
"GO:0016879"	"GO:0016879"	"ligase activity, forming carbon-nitrogen bonds"	"2/153"	"47/18337"	0.0585736831736055	0.542640186626102	0.537600184892733	"GATC/GMPS"	2
"GO:0001102"	"GO:0001102"	"RNA polymerase II activating transcription factor binding"	"2/153"	"48/18337"	0.0607948821349859	0.542640186626102	0.537600184892733	"TP53BP1/EXOSC9"	2
"GO:0098632"	"GO:0098632"	"cell-cell adhesion mediator activity"	"2/153"	"49/18337"	0.0630446115090578	0.542640186626102	0.537600184892733	"CXADR/CD200"	2
"GO:1901618"	"GO:1901618"	"organic hydroxy compound transmembrane transporter activity"	"2/153"	"49/18337"	0.0630446115090578	0.542640186626102	0.537600184892733	"SLC18A2/SLCO1C1"	2
"GO:0004674"	"GO:0004674"	"protein serine/threonine kinase activity"	"7/153"	"430/18337"	0.069103513357004	0.542640186626102	0.537600184892733	"DCAF1/MYLK4/MAP3K12/TTN/PKMYT1/PRKCZ/CSNK1D"	7
"GO:0002162"	"GO:0002162"	"dystroglycan binding"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"VCL"	1
"GO:0005528"	"GO:0005528"	"FK506 binding"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"FKBP1B"	1
"GO:0008331"	"GO:0008331"	"high voltage-gated calcium channel activity"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"CACNB2"	1
"GO:0016176"	"GO:0016176"	"superoxide-generating NADPH oxidase activator activity"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"NOXO1"	1
"GO:0016303"	"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"PIK3CD"	1
"GO:0031419"	"GO:0031419"	"cobalamin binding"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"MMACHC"	1
"GO:0034511"	"GO:0034511"	"U3 snoRNA binding"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"TBL3"	1
"GO:0043560"	"GO:0043560"	"insulin receptor substrate binding"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"PRKCZ"	1
"GO:0045294"	"GO:0045294"	"alpha-catenin binding"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"VCL"	1
"GO:0051864"	"GO:0051864"	"histone demethylase activity (H3-K36 specific)"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"KDM2B"	1
"GO:1990226"	"GO:1990226"	"histone methyltransferase binding"	"1/153"	"10/18337"	0.0803927072039418	0.542640186626102	0.537600184892733	"LCORL"	1
"GO:0016796"	"GO:0016796"	"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	"2/153"	"57/18337"	0.0819964329669096	0.542640186626102	0.537600184892733	"RAD9A/EXOSC9"	2
"GO:0005085"	"GO:0005085"	"guanyl-nucleotide exchange factor activity"	"4/153"	"197/18337"	0.0830872175066666	0.542640186626102	0.537600184892733	"PTGIR/DENND1C/DENND4C/SBF1"	4
"GO:0098631"	"GO:0098631"	"cell adhesion mediator activity"	"2/153"	"58/18337"	0.0844758520351	0.542640186626102	0.537600184892733	"CXADR/CD200"	2
"GO:0015378"	"GO:0015378"	"sodium:chloride symporter activity"	"1/153"	"11/18337"	0.0880699001868521	0.542640186626102	0.537600184892733	"SLC18A2"	1
"GO:0019855"	"GO:0019855"	"calcium channel inhibitor activity"	"1/153"	"11/18337"	0.0880699001868521	0.542640186626102	0.537600184892733	"FKBP1B"	1
"GO:0097493"	"GO:0097493"	"structural molecule activity conferring elasticity"	"1/153"	"11/18337"	0.0880699001868521	0.542640186626102	0.537600184892733	"TTN"	1
"GO:0008144"	"GO:0008144"	"drug binding"	"2/153"	"61/18337"	0.0920478807865319	0.542640186626102	0.537600184892733	"FKBP1B/PPID"	2
"GO:0004518"	"GO:0004518"	"nuclease activity"	"4/153"	"206/18337"	0.0941028936599339	0.542640186626102	0.537600184892733	"EME2/POLG/RAD9A/EXOSC9"	4
"GO:0030145"	"GO:0030145"	"manganese ion binding"	"2/153"	"62/18337"	0.0946146898688256	0.542640186626102	0.537600184892733	"POMGNT1/MPPE1"	2
"GO:0004861"	"GO:0004861"	"cyclin-dependent protein serine/threonine kinase inhibitor activity"	"1/153"	"12/18337"	0.0956834167901157	0.542640186626102	0.537600184892733	"HEXIM1"	1
"GO:0005527"	"GO:0005527"	"macrolide binding"	"1/153"	"12/18337"	0.0956834167901157	0.542640186626102	0.537600184892733	"FKBP1B"	1
"GO:0035004"	"GO:0035004"	"phosphatidylinositol 3-kinase activity"	"1/153"	"12/18337"	0.0956834167901157	0.542640186626102	0.537600184892733	"PIK3CD"	1
