"ID" "Description" "geneID" "Count" "p_adjust" "pvalue" "GeneRatio"
"hsa00970" "Aminoacyl-tRNA biosynthesis" "4574/4571/4511/4579/283459/4563" 6 1.06294904991156e-05 1.7715817498526e-07 "6/32"
"hsa04611" "Platelet activation" "5739/340156" 2 0.649193081981213 0.0854968059918249 "2/32"
"hsa04977" "Vitamin digestion and absorption" "25974" 1 0.649193081981213 0.0906669111071468 "1/32"
"hsa04728" "Dopaminergic synapse" "220074/2774" 2 0.649193081981213 0.0950905520101879 "2/32"
"hsa04270" "Vascular smooth muscle contraction" "5739/340156" 2 0.649193081981213 0.0963113693512486 "2/32"
"hsa04966" "Collecting duct acid secretion" "10312" 1 0.649193081981213 0.101424159054906 "1/32"
"hsa00630" "Glyoxylate and dicarboxylate metabolism" "125061" 1 0.649193081981213 0.112058081809438 "1/32"
"hsa04215" "Apoptosis - multiple species" "27429" 1 0.649193081981213 0.11907952617959 "1/32"
"hsa00350" "Tyrosine metabolism" "220074" 1 0.649193081981213 0.132961412031408 "1/32"
"hsa00500" "Starch and sucrose metabolism" "11181" 1 0.649193081981213 0.132961412031408 "1/32"
"hsa00380" "Tryptophan metabolism" "125061" 1 0.649193081981213 0.153387676367194 "1/32"
"hsa03022" "Basal transcription factors" "6881" 1 0.649193081981213 0.163425212810215 "1/32"
"hsa05110" "Vibrio cholerae infection" "10312" 1 0.649193081981213 0.179898785293111 "1/32"
"hsa03460" "Fanconi anemia pathway" "197342" 1 0.649193081981213 0.192850959467102 "1/32"
"hsa05416" "Viral myocarditis" "1525" 1 0.649193081981213 0.211908395292664 "1/32"
"hsa00140" "Steroid hormone biosynthesis" "220074" 1 0.649193081981213 0.215041960321322 "1/32"
"hsa05120" "Epithelial cell signaling in Helicobacter pylori infection" "10312" 1 0.649193081981213 0.242706188870772 "1/32"
"hsa04020" "Calcium signaling pathway" "2774/340156" 2 0.649193081981213 0.244446997337984 "2/32"
"hsa05012" "Parkinson disease" "27429/2774" 2 0.649193081981213 0.257723186709331 "2/32"
"hsa04971" "Gastric acid secretion" "340156" 1 0.649193081981213 0.260621751201614 "1/32"
"hsa04721" "Synaptic vesicle cycle" "10312" 1 0.649193081981213 0.266501840708602 "1/32"
"hsa04146" "Peroxisome" "5192" 1 0.649193081981213 0.27812641932282 "1/32"
"hsa04012" "ErbB signaling pathway" "145957" 1 0.649193081981213 0.286727527840315 "1/32"
"hsa05410" "Hypertrophic cardiomyopathy" "7273" 1 0.649193081981213 0.300842554173333 "1/32"
"hsa05323" "Rheumatoid arthritis" "10312" 1 0.649193081981213 0.309181279979368 "1/32"
"hsa05414" "Dilated cardiomyopathy" "7273" 1 0.649193081981213 0.317423623291255 "1/32"
"hsa05215" "Prostate cancer" "6692" 1 0.649193081981213 0.320149839473816 "1/32"
"hsa04914" "Progesterone-mediated oocyte maturation" "51529" 1 0.649193081981213 0.328265348432411 "1/32"
"hsa05142" "Chagas disease" "2774" 1 0.649193081981213 0.333623464743977 "1/32"
"hsa05146" "Amoebiasis" "2774" 1 0.649193081981213 0.333623464743977 "1/32"
"hsa04110" "Cell cycle" "51529" 1 0.649193081981213 0.389896493419427 "1/32"
"hsa04142" "Lysosome" "10312" 1 0.649193081981213 0.399620880185946 "1/32"
"hsa04114" "Oocyte meiosis" "51529" 1 0.649193081981213 0.402028415503497 "1/32"
"hsa00190" "Oxidative phosphorylation" "10312" 1 0.649193081981213 0.413926487347524 "1/32"
