"ID" "Description" "geneID" "Count" "p_adjust" "pvalue" "GeneRatio"
"hsa00970" "Aminoacyl-tRNA biosynthesis" "4574/4571/4511/4579/283459/4563/4573/4572" 8 1.50949859202883e-05 7.90313398967975e-08 "8/70"
"hsa04611" "Platelet activation" "5739/340156/5590/5293" 4 0.831535017290092 0.0220135733227033 "4/70"
"hsa00630" "Glyoxylate and dicarboxylate metabolism" "125061/50" 2 0.831535017290092 0.0273550209164773 "2/70"
"hsa05100" "Bacterial invasion of epithelial cells" "5293/10092/7414" 3 0.831535017290092 0.0286204915436246 "3/70"
"hsa04810" "Regulation of actin cytoskeleton" "340156/5293/10092/7414/3695" 5 0.831535017290092 0.0396358737611347 "5/70"
"hsa05410" "Hypertrophic cardiomyopathy" "7273/783/3695" 3 0.831535017290092 0.0424907973295313 "3/70"
"hsa05414" "Dilated cardiomyopathy" "7273/783/3695" 3 0.831535017290092 0.0498434765720321 "3/70"
"hsa04914" "Progesterone-mediated oocyte maturation" "51529/9088/5293" 3 0.831535017290092 0.055068755516926 "3/70"
"hsa03022" "Basal transcription factors" "6881/2958" 2 0.831535017290092 0.0573396593067954 "2/70"
"hsa05146" "Amoebiasis" "2774/5293/7414" 3 0.831535017290092 0.057776480932442 "3/70"
"hsa04930" "Type II diabetes mellitus" "5590/5293" 2 0.831535017290092 0.0596198812320708 "2/70"
"hsa00130" "Ubiquinone and other terpenoid-quinone biosynthesis" "84274" 1 0.831535017290092 0.0910265415161695 "1/70"
"hsa04510" "Focal adhesion" "340156/5293/7414/3695" 4 0.831535017290092 0.0952343004076814 "4/70"
"hsa04728" "Dopaminergic synapse" "220074/2774/6571" 3 0.831535017290092 0.105420087329949 "3/70"
"hsa00562" "Inositol phosphate metabolism" "5293/51477" 2 0.831535017290092 0.130834538638201 "2/70"
"hsa05412" "Arrhythmogenic right ventricular cardiomyopathy" "783/3695" 2 0.831535017290092 0.142589602131857 "2/70"
"hsa04721" "Synaptic vesicle cycle" "10312/6571" 2 0.831535017290092 0.145563394566482 "2/70"
"hsa00983" "Drug metabolism - other enzymes" "3615/8833" 2 0.831535017290092 0.151549873433763 "2/70"
"hsa04218" "Cellular senescence" "5883/5293/5481" 3 0.831535017290092 0.151595647992427 "3/70"
"hsa01210" "2-Oxocarboxylic acid metabolism" "50" 1 0.831535017290092 0.152048355077939 "1/70"
"hsa05165" "Human papillomavirus infection" "10312/5590/5293/3695/182" 5 0.831535017290092 0.156736241570576 "5/70"
"hsa05131" "Shigellosis" "5293/10092/5481/7414" 4 0.831535017290092 0.164175492137577 "4/70"
"hsa04012" "ErbB signaling pathway" "145957/5293" 2 0.831535017290092 0.166722932393469 "2/70"
"hsa04144" "Endocytosis" "254122/9765/5590/10092" 4 0.831535017290092 0.172573202168603 "4/70"
"hsa00515" "Mannose type O-glycan biosynthesis" "55624" 1 0.831535017290092 0.181026618559885 "1/70"
"hsa03060" "Protein export" "28972" 1 0.831535017290092 0.181026618559885 "1/70"
"hsa04977" "Vitamin digestion and absorption" "25974" 1 0.831535017290092 0.188117297187072 "1/70"
"hsa00563" "Glycosylphosphatidylinositol (GPI)-anchor biosynthesis" "65258" 1 0.831535017290092 0.202117598714566 "1/70"
"hsa04666" "Fc gamma R-mediated phagocytosis" "5293/10092" 2 0.831535017290092 0.204086461393211 "2/70"
"hsa05215" "Prostate cancer" "6692/5293" 2 0.831535017290092 0.204086461393211 "2/70"
"hsa01522" "Endocrine resistance" "5293/182" 2 0.831535017290092 0.207246092023046 "2/70"
"hsa04966" "Collecting duct acid secretion" "10312" 1 0.831535017290092 0.209028235696746 "1/70"
"hsa04933" "AGE-RAGE signaling pathway in diabetic complications" "5590/5293" 2 0.831535017290092 0.213581450197769 "2/70"
"hsa05142" "Chagas disease" "2774/5293" 2 0.831535017290092 0.219936135773857 "2/70"
"hsa04625" "C-type lectin receptor signaling pathway" "5293/53342" 2 0.831535017290092 0.226307656022362 "2/70"
"hsa00020" "Citrate cycle (TCA cycle)" "50" 1 0.831535017290092 0.229408088091806 "1/70"
"hsa04710" "Circadian rhythm" "1453" 1 0.831535017290092 0.236085660985291 "1/70"
"hsa04931" "Insulin resistance" "5590/5293" 2 0.831535017290092 0.239091616052793 "2/70"
"hsa04215" "Apoptosis - multiple species" "27429" 1 0.831535017290092 0.242706188870772 "1/70"
"hsa03008" "Ribosome biogenesis in eukaryotes" "10607/4550" 2 0.831535017290092 0.245499451242576 "2/70"
"hsa04668" "TNF signaling pathway" "5293/182" 2 0.831535017290092 0.251914908301833 "2/70"
"hsa04670" "Leukocyte transendothelial migration" "5293/7414" 2 0.831535017290092 0.258335864509849 "2/70"
"hsa00350" "Tyrosine metabolism" "220074" 1 0.831535017290092 0.268627397138799 "1/70"
"hsa00500" "Starch and sucrose metabolism" "11181" 1 0.831535017290092 0.268627397138799 "1/70"
"hsa04071" "Sphingolipid signaling pathway" "5590/5293" 2 0.831535017290092 0.274398998894287 "2/70"
"hsa04960" "Aldosterone-regulated sodium reabsorption" "5293" 1 0.831535017290092 0.274969825558061 "1/70"
"hsa04919" "Thyroid hormone signaling pathway" "5293/53919" 2 0.831535017290092 0.280823462620991 "2/70"
"hsa05340" "Primary immunodeficiency" "8625" 1 0.831535017290092 0.281258031754435 "1/70"
"hsa00513" "Various types of N-glycan biosynthesis" "10195" 1 0.831535017290092 0.287492472619019 "1/70"
"hsa04110" "Cell cycle" "51529/9088" 2 0.831535017290092 0.29045355414074 "2/70"
"hsa00380" "Tryptophan metabolism" "125061" 1 0.831535017290092 0.305877715412829 "1/70"
"hsa04114" "Oocyte meiosis" "51529/9088" 2 0.831535017290092 0.306471697558282 "2/70"
"hsa04926" "Relaxin signaling pathway" "5590/5293" 2 0.831535017290092 0.306471697558282 "2/70"
"hsa00230" "Purine metabolism" "3615/8833" 2 0.831535017290092 0.309668671961148 "2/70"
"hsa04270" "Vascular smooth muscle contraction" "5739/340156" 2 0.831535017290092 0.319242772126476 "2/70"
"hsa04210" "Apoptosis" "27429/5293" 2 0.831535017290092 0.328787752399673 "2/70"
"hsa04910" "Insulin signaling pathway" "5590/5293" 2 0.831535017290092 0.331962108795855 "2/70"
"hsa05135" "Yersinia infection" "5293/10092" 2 0.831535017290092 0.331962108795855 "2/70"
"hsa04371" "Apelin signaling pathway" "340156/182" 2 0.831535017290092 0.335132526733735 "2/70"
"hsa04973" "Carbohydrate digestion and absorption" "5293" 1 0.831535017290092 0.335486036811186 "1/70"
"hsa05418" "Fluid shear stress and atherosclerosis" "5590/5293" 2 0.831535017290092 0.338298838973272 "2/70"
"hsa04140" "Autophagy - animal" "5293/9711" 2 0.831535017290092 0.344618492830963 "2/70"
"hsa04672" "Intestinal immune network for IgA production" "3695" 1 0.831535017290092 0.346977631048121 "1/70"
"hsa05030" "Cocaine addiction" "6571" 1 0.831535017290092 0.346977631048121 "1/70"
"hsa00510" "N-Glycan biosynthesis" "10195" 1 0.831535017290092 0.352649744936523 "1/70"
"hsa05110" "Vibrio cholerae infection" "10312" 1 0.831535017290092 0.352649744936523 "1/70"
"hsa05224" "Breast cancer" "5293/182" 2 0.831535017290092 0.363462466086792 "2/70"
"hsa05012" "Parkinson disease" "27429/2774/6571" 3 0.831535017290092 0.364531038711001 "3/70"
"hsa05132" "Salmonella infection" "5293/10092/5420" 3 0.831535017290092 0.364531038711001 "3/70"
"hsa03460" "Fanconi anemia pathway" "197342" 1 0.831535017290092 0.374856584193483 "1/70"
"hsa04921" "Oxytocin signaling pathway" "340156/783" 2 0.831535017290092 0.385196253789503 "2/70"
"hsa04340" "Hedgehog signaling pathway" "1453" 1 0.831535017290092 0.385676689966387 "1/70"
"hsa04150" "mTOR signaling pathway" "8131/5293" 2 0.831535017290092 0.38827653790176 "2/70"
"hsa04923" "Regulation of lipolysis in adipocytes" "5293" 1 0.831535017290092 0.391017304931906 "1/70"
"hsa01240" "Biosynthesis of cofactors" "125061/84274" 2 0.831535017290092 0.39135031569279 "2/70"
"hsa04390" "Hippo signaling pathway" "5590/1453" 2 0.831535017290092 0.394417469908649 "2/70"
"hsa05213" "Endometrial cancer" "5293" 1 0.831535017290092 0.39631214888356 "1/70"
"hsa03010" "Ribosome" "64979/4550" 2 0.831535017290092 0.397477885740337 "2/70"
"hsa04330" "Notch signaling pathway" "182" 1 0.831535017290092 0.401561608458485 "1/70"
"hsa04370" "VEGF signaling pathway" "5293" 1 0.831535017290092 0.401561608458485 "1/70"
"hsa05416" "Viral myocarditis" "1525" 1 0.831535017290092 0.406766067075444 "1/70"
"hsa04630" "JAK-STAT signaling pathway" "5293/53342" 2 0.831535017290092 0.409649952814534 "2/70"
"hsa00140" "Steroid hormone biosynthesis" "220074" 1 0.831535017290092 0.41192590496122 "1/70"
"hsa04213" "Longevity regulating pathway - multiple species" "5293" 1 0.831535017290092 0.417041499176792 "1/70"
