Geneid	alignment_29/RNA-29Aligned.sortedByCoord.out.bam	alignment_30/RNA-30Aligned.sortedByCoord.out.bam	alignment_31/RNA-31Aligned.sortedByCoord.out.bam	alignment_32/RNA-32Aligned.sortedByCoord.out.bam
DDX11L1	1	2	3	0
WASH7P	0	0	0	1
MIR6859-1	0	0	0	0
MIR1302-2HG	0	0	0	0
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4F5	0	0	0	0
LOC100996442	0	0	0	0
LOC729737	0	0	0	0
DDX11L17	0	0	0	0
WASH9P	0	0	2	0
MIR6859-2	0	0	0	0
LOC107985721	0	0	0	0
LOC112268260	0	0	2	0
OR4F29	0	0	0	0
LOC100132287	0	0	0	0
LOC105378947	0	0	0	0
LOC101928626	0	0	0	0
MIR12136	65	88	36	55
OR4F16	0	0	0	0
LOC100288069	0	0	0	0
LINC01409	2	8	3	4
FAM87B	2	2	2	1
LINC00115	2	2	1	0
LINC01128	0	0	0	1
LOC107984850	0	0	0	0
FAM41C	0	0	0	1
LOC284600	0	0	0	0
LINC02593	6	4	4	6
LOC107985728	1	1	0	2
SAMD11	536	323	384	359
NOC2L	5	2	4	5
KLHL17	0	0	1	0
PLEKHN1	2	2	5	4
PERM1	24	14	21	26
HES4	19	2	4	11
ISG15	3	1	0	0
AGRN	4	3	2	6
LOC100288175	75	44	38	51
LOC105378948	17	3	13	15
RNF223	1	0	0	0
C1orf159	1	1	0	1
LINC01342	1	0	0	0
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
TTLL10-AS1	1	1	1	1
TTLL10	0	0	0	0
TNFRSF18	0	0	0	0
TNFRSF4	0	0	0	0
SDF4	2	4	5	14
B3GALT6	0	0	0	1
C1QTNF12	0	0	1	0
UBE2J2	3	0	2	3
LINC01786	0	0	0	0
SCNN1D	0	0	0	0
ACAP3	1	1	0	1
MIR6726	0	0	0	0
SNORD167	0	0	0	0
PUSL1	41	22	32	34
INTS11	114	71	87	78
MIR6727	0	0	0	0
CPTP	1	0	0	1
TAS1R3	8	11	12	9
DVL1	6	6	5	10
MIR6808	0	0	0	0
MXRA8	19	23	15	23
AURKAIP1	2	1	0	6
CCNL2	1	0	0	1
MRPL20-AS1	317	141	202	190
MRPL20	26	18	13	13
MRPL20-DT	0	0	0	0
LOC107984868	0	0	0	0
ANKRD65	0	0	0	0
LOC105378585	0	0	0	0
TMEM88B	1	1	3	2
LINC01770	2	0	2	1
LOC107985729	4	7	6	7
VWA1	1	0	2	3
ATAD3C	0	0	2	2
ATAD3B	0	2	3	3
ATAD3A	3	1	5	4
TMEM240	0	0	0	0
SSU72	4	2	1	3
FNDC10	0	1	2	0
LOC105378586	70	47	55	32
MIB2	190	141	130	137
MMP23B	13	7	7	7
CDK11B	22	10	12	8
SLC35E2B	8	3	10	5
MMP23A	0	0	0	0
CDK11A	10	6	3	5
SLC35E2A	10	10	11	14
LOC112268218	176	106	147	113
NADK	6	2	4	0
GNB1	3	0	4	3
LOC105378949	0	2	2	1
CALML6	0	0	0	0
TMEM52	1	0	0	1
CFAP74	0	0	0	0
LOC107984872	0	0	0	0
LOC105378589	0	0	0	0
GABRD	0	0	0	0
LOC105378590	0	0	0	0
LOC105378591	0	0	0	0
PRKCZ	114	55	83	51
PRKCZ-AS1	30	30	21	20
FAAP20	407	218	258	215
LOC112268219	84	64	73	77
LOC105378593	0	0	0	0
SKI	1	0	0	6
MORN1	1	0	0	0
LOC100129534	0	0	0	0
RER1	265	165	197	174
PEX10	917	495	625	555
PLCH2	32	13	21	16
PANK4	0	0	0	0
HES5	0	0	0	0
TNFRSF14-AS1	0	1	1	1
TNFRSF14	0	0	0	0
LOC100996583	0	0	0	0
PRXL2B	0	0	0	0
MMEL1	0	0	0	0
MMEL1-AS1	0	0	0	0
TTC34	0	0	0	0
LOC105378603	0	0	0	0
LOC105378602	0	0	0	0
LOC105378601	0	0	0	0
LOC112268220	0	0	0	0
LOC107985732	0	0	0	0
LOC105378600	0	0	0	0
LOC105378598	0	0	0	0
